ncName,ncID,transID
7SK,NONHSAG114192,NONHSAT255527.1
NEAT1,NONHSAG008670,NONHSAT022115.2
NEAT1,NONHSAG008670,NONHSAT159235.1
NEAT1,NONHSAG008670,NONHSAT159237.1
NEAT1,NONHSAG008670,NONHSAT229862.1
MALAT1,NONHSAG008675,NONHSAT159242.1
MALAT1,NONHSAG008675,NONHSAT159243.1
MALAT1,NONHSAG008675,NONHSAT159244.1
MALAT1,NONHSAG008675,NONHSAT159245.1
MALAT1,NONHSAG008675,NONHSAT159246.1
MALAT1,NONHSAG008675,NONHSAT159247.1
MALAT1,NONHSAG008675,NONHSAT159248.1
MALAT1,NONHSAG008675,NONHSAT159249.1
MALAT1,NONHSAG008675,NONHSAT159250.1
MALAT1,NONHSAG008675,NONHSAT159252.1
MALAT1,NONHSAG008675,NONHSAT159253.1
MALAT1,NONHSAG008675,NONHSAT159254.1
MALAT1,NONHSAG008675,NONHSAT229865.1
MALAT1,NONHSAG008675,NONHSAT229866.1
MALAT1,NONHSAG008675,NONHSAT229872.1
MALAT1,NONHSAG008675,NONHSAT229873.1
TSIX,NONHSAG054779,NONHSAT137557.2
NONHSAG013514,NONHSAG013515,NONHSAT033766.2
NONHSAG013514,NONHSAG013515,NONHSAT033774.2
NONHSAG013514,NONHSAG013515,NONHSAT033777.2
NONHSAG013514,NONHSAG013515,NONHSAT033780.2
NONHSAG013514,NONHSAG013515,NONHSAT033781.2
NONHSAG013514,NONHSAG013515,NONHSAT033783.2
NONHSAG013514,NONHSAG013515,NONHSAT033784.2
NONHSAG013514,NONHSAG013515,NONHSAT033788.2
NONHSAG013514,NONHSAG013515,NONHSAT033789.2
NONHSAG013514,NONHSAG013515,NONHSAT033790.2
NONHSAG013514,NONHSAG013515,NONHSAT033791.2
NONHSAG013514,NONHSAG013515,NONHSAT033792.2
NONHSAG013514,NONHSAG013515,NONHSAT033793.2
NONHSAG013514,NONHSAG013515,NONHSAT033794.2
NONHSAG013514,NONHSAG013515,NONHSAT033795.2
NONHSAG013514,NONHSAG013515,NONHSAT033796.2
NONHSAG013514,NONHSAG013515,NONHSAT033797.2
NONHSAG013514,NONHSAG013515,NONHSAT033798.2
NONHSAG013514,NONHSAG013515,NONHSAT033800.2
NONHSAG013514,NONHSAG013515,NONHSAT033804.2
NONHSAG013514,NONHSAG013515,NONHSAT033805.2
NONHSAG013514,NONHSAG013515,NONHSAT166765.1
NONHSAG013514,NONHSAG013515,NONHSAT166766.1
NONHSAG013514,NONHSAG013515,NONHSAT166767.1
NONHSAG013514,NONHSAG013515,NONHSAT166768.1
NONHSAG013514,NONHSAG013515,NONHSAT233219.1
NONHSAG013514,NONHSAG013515,NONHSAT233221.1
NONHSAG013514,NONHSAG013515,NONHSAT233222.1
NONHSAG013514,NONHSAG013515,NONHSAT233224.1
NONHSAG013514,NONHSAG013515,NONHSAT233225.1
NONHSAG013514,NONHSAG013515,NONHSAT233227.1
NONHSAG013514,NONHSAG013515,NONHSAT233228.1
NONHSAG013514,NONHSAG013515,NONHSAT233230.1
NONHSAG013514,NONHSAG013515,NONHSAT233231.1
NONHSAG013514,NONHSAG013515,NONHSAT233232.1
U1,NONHSAG000498,NONHSAT001209.2
U1,NONHSAG000498,NONHSAT001210.2
U1,NONHSAG000498,NONHSAT001211.2
U1,NONHSAG000498,NONHSAT001212.2
U1,NONHSAG000498,NONHSAT224732.1
RP11-54O7.14,NONHSAG000069,NONHSAT000228.2
RP3-467L1.4,NONHSAG000275,NONHSAT000724.2
RP4-635E18.7,NONHSAG000357,NONHSAT000877.2
RP4-635E18.7,NONHSAG000357,NONHSAT148375.1
RP1-43E13.2,NONHSAG000536,NONHSAT001281.2
RP1-43E13.2,NONHSAG000536,NONHSAT001282.2
RP1-43E13.2,NONHSAG000536,NONHSAT224747.1
RP1-43E13.2,NONHSAG000536,NONHSAT224749.1
RP5-930J4.4,NONHSAG000585,NONHSAT001387.2
RP1-184J9.2,NONHSAG000642,NONHSAT001498.2
RP1-184J9.2,NONHSAG000642,NONHSAT151254.1
SNHG3,NONHSAG000835,NONHSAT001952.2
SNHG3,NONHSAG000835,NONHSAT001953.2
SNHG3,NONHSAG000835,NONHSAT001955.2
SNHG3,NONHSAG000835,NONHSAT224840.1
SNHG3,NONHSAG000835,NONHSAT224841.1
RP11-84A19.4,NONHSAG000920,NONHSAT002140.2
RP4-622L5.2,NONHSAG000930,NONHSAT002162.2
RP4-803A2.2,NONHSAG000967,NONHSAT002248.2
RP4-803A2.2,NONHSAG000967,NONHSAT002249.2
ZMYM4-AS1,NONHSAG001017,NONHSAT002355.2
ZMYM4-AS1,NONHSAG001017,NONHSAT151427.1
RP4-665N4.8,NONHSAG001039,NONHSAT002393.2
RP4-665N4.8,NONHSAG001039,NONHSAT002394.2
RP11-420K8.1,NONHSAG001112,NONHSAT002547.2
RP11-420K8.1,NONHSAG001112,NONHSAT151472.1
RP11-69E11.8,NONHSAG001121,NONHSAT002587.2
KDM4A-AS1,NONHSAG001242,NONHSAT002817.2
KDM4A-AS1,NONHSAG001242,NONHSAT002818.2
KDM4A-AS1,NONHSAG001242,NONHSAT002819.2
KDM4A-AS1,NONHSAG001242,NONHSAT002820.2
KDM4A-AS1,NONHSAG001242,NONHSAT002822.2
