lncRNA,protein
A130040M12Rik,Sfpq
A130040M12Rik,Mbnl1
U1,70kDa
U1,Sfrs1
U1,SmB
U1,SmN
U1,Snrp1C
U1,snrpa
U1,Srsf3
4932438A13Rik,Adenomatous polyposis coli (APC)
4932438A13Rik,FMRP
4932438A13Rik,Fus
4932438A13Rik,Nova1
4932438A13Rik,Tdp43
4932438A13Rik,Upf1
Abhd17c,Adenomatous polyposis coli (APC)
Abhd17c,Celf1
Abhd17c,Ezh2
Abhd17c,Fus
Abhd17c,JARID2
Abhd17c,Tdp43
Abhd17c,Upf1
Acly,Adenomatous polyposis coli (APC)
Acly,Cpsf6
Acly,FMRP
Acly,Fus
Acly,Tdp43
Acly,Upf1
Actr1b,Adenomatous polyposis coli (APC)
Actr1b,FMRP
Actr1b,Fus
Actr1b,Tdp43
Actr1b,Upf1
Aff4,Adenomatous polyposis coli (APC)
Aff4,Celf1
Aff4,Cpsf6
Aff4,FMRP
Aff4,Fus
Aff4,JARID2
Aff4,Mbnl1
Aff4,Tdp43
Aff4,Upf1
Amfr,Adenomatous polyposis coli (APC)
Amfr,Celf1
Amfr,Cpsf6
Amfr,FMRP
Amfr,Fus
Amfr,Mbnl1
Amfr,Tdp43
Amfr,Upf1
Ank3,Adenomatous polyposis coli (APC)
Ank3,Celf1
Ank3,FMRP
Ank3,Fus
Ank3,JARID2
Ank3,Mbnl1
Ank3,Tdp43
Ank3,Upf1
Ankrd12,Adenomatous polyposis coli (APC)
Ankrd12,Celf1
Ankrd12,Cpsf6
Ankrd12,FMRP
Ankrd12,Fus
Ankrd12,Mbnl1
Ankrd12,Tdp43
Ankrd12,Upf1
Anp32a,Adenomatous polyposis coli (APC)
Anp32a,Celf1
Anp32a,FMRP
Anp32a,Fus
Anp32a,PABPC1
Anp32a,Tdp43
Anp32a,Upf1
Anp32e,Adenomatous polyposis coli (APC)
Anp32e,Celf1
Anp32e,FMRP
Anp32e,Fus
Anp32e,Mbnl1
Anp32e,PABPC1
Anp32e,Tdp43
Anp32e,Upf1
Atp5g3,Adenomatous polyposis coli (APC)
Atp5g3,Celf1
Atp5g3,Ezh2
Atp5g3,FMRP
Atp5g3,Fus
Atp5g3,JARID2
Atp5g3,Mbnl1
Atp5g3,PABPC1
Atp5g3,Tdp43
Atp5g3,Upf1
Atxn7l3b,Adenomatous polyposis coli (APC)
Atxn7l3b,FMRP
Atxn7l3b,Fus
Atxn7l3b,PABPC1
Atxn7l3b,Tdp43
Azin1,Adenomatous polyposis coli (APC)
Azin1,Cpsf6
Azin1,Fus
Azin1,Tdp43
Azin1,Upf1
Brwd1,Adenomatous polyposis coli (APC)
Brwd1,Celf1
Brwd1,Cpsf6
Brwd1,FMRP
Brwd1,Fus
Brwd1,JARID2
Brwd1,Mbnl1
Brwd1,Mbnl2
Brwd1,Tdp43
Brwd1,Upf1
Cadm1,Adenomatous polyposis coli (APC)
Cadm1,Celf1
Cadm1,Ezh2
Cadm1,FMRP
Cadm1,Fus
Cadm1,JARID2
Cadm1,Mbnl1
Cadm1,Rbfox3
Cadm1,Tdp43
Cadm1,Upf1
Calm1,Adenomatous polyposis coli (APC)
Calm1,Cpsf6
Calm1,FMRP
Calm1,Fus
Calm1,Mbnl1
Calm1,Tdp43
Calm1,Upf1
Calr,Adenomatous polyposis coli (APC)
Calr,Cpsf6
Calr,Ezh2
Calr,FMRP
Calr,Fus
Calr,JARID2
Calr,Tdp43
Calr,Upf1
Canx,Adenomatous polyposis coli (APC)
Canx,Celf1
Canx,Cpsf6
Canx,Fus
Canx,JARID2
Canx,Mbnl1
Canx,Mbnl2
Canx,Mbnl3
Canx,Upf1
Cirbp,Adenomatous polyposis coli (APC)
Cirbp,Celf1
Cirbp,Fus
Cirbp,Tdp43
Cirbp,Upf1
Cnr1,Adenomatous polyposis coli (APC)
Cnr1,FMRP
Cnr1,Fus
Cnr1,Tdp43
Crebzf,Adenomatous polyposis coli (APC)
Crebzf,Celf1
Crebzf,Cpsf6
Crebzf,FMRP
Crebzf,Fus
Crebzf,JARID2
Crebzf,Mbnl1
Crebzf,Tdp43
Crebzf,Upf1
Csnk1a1,Adenomatous polyposis coli (APC)
Csnk1a1,Cpsf6
Csnk1a1,Fus
Csnk1a1,JARID2
Csnk1a1,Mbnl1
Csnk1a1,Tdp43
Csnk1a1,Upf1
Csnk1e,Adenomatous polyposis coli (APC)
Csnk1e,FMRP
Csnk1e,Fus
Csnk1e,Tdp43
Csnk1e,Upf1
Cstf3,Adenomatous polyposis coli (APC)
Cstf3,Cpsf6
Cstf3,FMRP
Cstf3,Fus
Cstf3,Mbnl1
Cstf3,Mbnl3
Cstf3,Tdp43
Dst,Adenomatous polyposis coli (APC)
Dst,Celf1
Dst,FMRP
Dst,Fus
Dst,JARID2
Dst,Mbnl1
Dst,Rbfox3
Dst,Tdp43
Dst,Upf1
Dtx3,Adenomatous polyposis coli (APC)
Dtx3,FMRP
Dtx3,Fus
Dtx3,Upf1
Elavl2,Adenomatous polyposis coli (APC)
Elavl2,Fus
Elavl2,Tdp43
Fam168b,Adenomatous polyposis coli (APC)
Fam168b,FMRP
Fam168b,Fus
Fam168b,JARID2
Fam168b,Mbnl1
Fam168b,Tdp43
Fam168b,Upf1
Fam171a2,Adenomatous polyposis coli (APC)
Fam171a2,FMRP
Fam171a2,Fus
Fam171a2,Tdp43
Foxg1,Adenomatous polyposis coli (APC)
Foxg1,Cpsf6
Foxg1,FMRP
Foxg1,Fus
Fzd3,Adenomatous polyposis coli (APC)
Fzd3,FMRP
Fzd3,Fus
Fzd3,Mbnl1
Fzd3,Mbnl3
Fzd3,Tdp43
Fzd3,Upf1
