lncRNA,ncID,
AK028326,NONMMUG033401,
Meg3,NONMMUG009962,
lincRNA-p21,NONMMUG017913,
A930011O12Rik,NONMMUG013211,
NONMMUG034886,NONMMUG034886,
Gm12609,NONMMUG029813,
9030622O22Rik,NONMMUG068727,
Neat1,NONMMUG020673,
Kcnq1ot1,NONMMUG039685,
Gm12750,NONMMUG030202,
Tsix,NONMMUG045568,
Dnm3os,NONMMUG002239,
RP23-71K9.4,NONMMUG000508,
Braveheart,ENSMUSG00000098098,
Enox,NONMMUG045574,
NONMMUG026355,NONMMUG026355,
Xist,NONMMUG045569,
6720416L17Rik,NONMMUG023454,
5033428I22Rik,NONMMUG040637,
1810026B05Rik,NONMMUG038355,
Fendrr,NONMMUG041781,
Dlx6os1,ENSMUSG00000090063,
Airn,NONMMUG017485,
mrhl,NONMMUG041158,
Gas5,NONMMUG002215,
,,
