ncName,ncID,transID
42253,NONMMUG044709,NONMMUT072143.2
0610005C13Rik,NONMMUG037997,NONMMUT061183.2
0610005C13Rik,NONMMUG037997,NONMMUT061184.2
0610005C13Rik,NONMMUG037997,NONMMUT061185.2
0610005C13Rik,NONMMUG037997,NONMMUT061187.2
0610005C13Rik,NONMMUG037997,NONMMUT061188.2
0610005C13Rik,NONMMUG037997,NONMMUT061189.2
0610005C13Rik,NONMMUG037997,NONMMUT061190.2
0610005C13Rik,NONMMUG037997,NONMMUT061191.2
0610005C13Rik,NONMMUG037997,NONMMUT061192.2
0610005C13Rik,NONMMUG037997,NONMMUT061193.2
0610005C13Rik,NONMMUG037997,NONMMUT126788.1
0610005C13Rik,NONMMUG037997,NONMMUT151651.1
0610005C13Rik,NONMMUG037997,NONMMUT151652.1
0610005C13Rik,NONMMUG037997,NONMMUT151653.1
0610009B14Rik,NONMMUG009416,NONMMUT014847.2
0610009B14Rik,NONMMUG009416,NONMMUT088690.1
0610009E02Rik,NONMMUG022357,NONMMUT036331.2
0610009E02Rik,NONMMUG022357,NONMMUT036332.2
0610009E02Rik,NONMMUG022357,NONMMUT036333.2
0610009E02Rik,NONMMUG022357,NONMMUT036334.2
0610009E02Rik,NONMMUG022357,NONMMUT036335.2
0610009E02Rik,NONMMUG022357,NONMMUT146228.1
0610012D04Rik,NONMMUG019126,NONMMUT031045.2
0610012D04Rik,NONMMUG019126,NONMMUT102685.1
0610038L08Rik,NONMMUG017931,NONMMUT029017.2
0610038L08Rik,NONMMUG017931,NONMMUT029018.2
0610038L08Rik,NONMMUG017931,NONMMUT101970.1
0610038P03Rik,NONMMUG025222,NONMMUT040680.2
0610038P03Rik,NONMMUG025222,NONMMUT040681.2
0610038P03Rik,NONMMUG025222,NONMMUT040682.2
0610040B09Rik,NONMMUG007410,NONMMUT011703.2
0610040B09Rik,NONMMUG007410,NONMMUT085710.1
0610040F04Rik,NONMMUG036234,NONMMUT058325.2
0610040F04Rik,NONMMUG036234,NONMMUT058326.2
0610040F04Rik,NONMMUG036234,NONMMUT058328.2
0610040F04Rik,NONMMUG036234,NONMMUT058329.2
0610040F04Rik,NONMMUG036234,NONMMUT058330.2
0610040F04Rik,NONMMUG036234,NONMMUT058331.2
0610040F04Rik,NONMMUG036234,NONMMUT058332.2
0610040F04Rik,NONMMUG036234,NONMMUT058334.2
0610040F04Rik,NONMMUG036234,NONMMUT124255.1
0610043K17Rik,NONMMUG029984,NONMMUT048345.2
0610043K17Rik,NONMMUG029984,NONMMUT048346.2
0610043K17Rik,NONMMUG029984,NONMMUT048348.2
0610043K17Rik,NONMMUG029984,NONMMUT048349.2
0610043K17Rik,NONMMUG029984,NONMMUT048350.2
0610043K17Rik,NONMMUG029984,NONMMUT048351.2
0610043K17Rik,NONMMUG029984,NONMMUT048352.2
1110018G07Rik,NONMMUG009542,NONMMUT015036.2
1110018N20Rik,NONMMUG025552,NONMMUT041268.2
1110018N20Rik,NONMMUG025552,NONMMUT041269.2
1110018N20Rik,NONMMUG025552,NONMMUT041270.2
1110018N20Rik,NONMMUG025552,NONMMUT041271.2
1110018N20Rik,NONMMUG025552,NONMMUT108330.1
1110035H17Rik,NONMMUG037602,NONMMUT060487.2
1110035M17Rik,NONMMUG007377,NONMMUT011654.2
