label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
0,0.75,0.755,0.74,0.76,0.748,0.5,0.839,0.853
1,0.776,0.764,0.799,0.753,0.781,0.553,0.843,0.861
2,0.76,0.778,0.727,0.792,0.752,0.521,0.834,0.858
3,0.747,0.764,0.714,0.779,0.738,0.495,0.815,0.823
4,0.773,0.739,0.844,0.701,0.788,0.551,0.831,0.838
5,0.766,0.733,0.838,0.695,0.782,0.538,0.822,0.809
6,0.753,0.744,0.773,0.734,0.758,0.507,0.826,0.828
7,0.747,0.744,0.753,0.74,0.748,0.494,0.816,0.817
8,0.789,0.763,0.838,0.74,0.799,0.581,0.848,0.847
9,0.782,0.784,0.779,0.786,0.782,0.565,0.848,0.862
10,0.792,0.774,0.825,0.76,0.799,0.586,0.847,0.841
11,0.75,0.742,0.766,0.734,0.754,0.5,0.813,0.819
12,0.795,0.779,0.825,0.766,0.801,0.592,0.86,0.869
13,0.75,0.718,0.825,0.675,0.767,0.506,0.813,0.819
14,0.698,0.692,0.714,0.682,0.703,0.396,0.774,0.771
15,0.76,0.744,0.792,0.727,0.767,0.521,0.802,0.768
16,0.766,0.777,0.747,0.786,0.762,0.533,0.833,0.849
17,0.753,0.724,0.818,0.688,0.768,0.511,0.825,0.823
18,0.782,0.764,0.818,0.747,0.79,0.566,0.846,0.856
19,0.734,0.765,0.675,0.792,0.717,0.471,0.818,0.838
20,0.756,0.731,0.812,0.701,0.769,0.516,0.814,0.796
21,0.766,0.773,0.753,0.779,0.763,0.533,0.835,0.842
22,0.782,0.754,0.838,0.727,0.794,0.568,0.84,0.839
23,0.76,0.73,0.825,0.695,0.774,0.524,0.824,0.827
24,0.756,0.731,0.812,0.701,0.769,0.516,0.829,0.841
25,0.76,0.77,0.74,0.779,0.755,0.52,0.834,0.843
26,0.734,0.725,0.753,0.714,0.739,0.468,0.825,0.833
27,0.756,0.726,0.825,0.688,0.772,0.518,0.815,0.817
28,0.76,0.778,0.727,0.792,0.752,0.521,0.82,0.829
29,0.747,0.771,0.701,0.792,0.735,0.496,0.812,0.833
30,0.782,0.781,0.786,0.779,0.783,0.565,0.853,0.864
31,0.763,0.791,0.714,0.812,0.751,0.528,0.831,0.848
32,0.76,0.744,0.792,0.727,0.767,0.521,0.815,0.8
33,0.763,0.761,0.766,0.76,0.764,0.526,0.833,0.824
34,0.786,0.762,0.831,0.74,0.795,0.574,0.862,0.872
35,0.773,0.776,0.766,0.779,0.771,0.546,0.852,0.864
36,0.773,0.796,0.734,0.812,0.764,0.547,0.823,0.841
37,0.766,0.733,0.838,0.695,0.782,0.538,0.814,0.816
38,0.747,0.726,0.792,0.701,0.758,0.496,0.827,0.819
39,0.711,0.699,0.74,0.682,0.719,0.423,0.794,0.79
40,0.776,0.749,0.831,0.721,0.788,0.555,0.828,0.826
