label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
0,0.78,0.889,0.64,0.92,0.744,0.583,0.87,0.842
1,0.8,0.941,0.64,0.96,0.762,0.633,0.859,0.886
2,0.72,0.762,0.64,0.8,0.696,0.446,0.794,0.818
3,0.82,0.944,0.68,0.96,0.791,0.667,0.922,0.918
4,0.78,0.889,0.64,0.92,0.744,0.583,0.861,0.869
5,0.78,0.889,0.64,0.92,0.744,0.583,0.926,0.895
6,0.82,0.944,0.68,0.96,0.791,0.667,0.931,0.928
7,0.8,0.941,0.64,0.96,0.762,0.633,0.882,0.88
8,0.82,1.0,0.64,1.0,0.78,0.686,0.843,0.889
9,0.82,1.0,0.64,1.0,0.78,0.686,0.888,0.921
10,0.76,0.842,0.64,0.88,0.727,0.536,0.835,0.849
11,0.82,0.944,0.68,0.96,0.791,0.667,0.922,0.933
12,0.78,0.938,0.6,0.96,0.732,0.6,0.878,0.899
13,0.76,0.842,0.64,0.88,0.727,0.536,0.856,0.879
14,0.76,0.842,0.64,0.88,0.727,0.536,0.818,0.816
15,0.76,0.842,0.64,0.88,0.727,0.536,0.83,0.868
16,0.78,0.85,0.68,0.88,0.756,0.572,0.875,0.896
17,0.8,0.941,0.64,0.96,0.762,0.633,0.87,0.899
18,0.76,0.842,0.64,0.88,0.727,0.536,0.827,0.86
19,0.76,0.842,0.64,0.88,0.727,0.536,0.85,0.876
20,0.82,0.944,0.68,0.96,0.791,0.667,0.926,0.937
21,0.76,0.842,0.64,0.88,0.727,0.536,0.859,0.867
22,0.78,0.85,0.68,0.88,0.756,0.572,0.851,0.857
23,0.78,0.889,0.64,0.92,0.744,0.583,0.859,0.893
24,0.8,0.941,0.64,0.96,0.762,0.633,0.864,0.896
25,0.8,0.941,0.64,0.96,0.762,0.633,0.882,0.88
26,0.8,0.941,0.64,0.96,0.762,0.633,0.904,0.909
27,0.78,0.85,0.68,0.88,0.756,0.572,0.87,0.893
28,0.78,0.889,0.64,0.92,0.744,0.583,0.874,0.837
29,0.74,0.8,0.64,0.84,0.711,0.49,0.837,0.859
30,0.8,0.895,0.68,0.92,0.773,0.618,0.894,0.897
31,0.78,0.889,0.64,0.92,0.744,0.583,0.878,0.885
32,0.76,0.842,0.64,0.88,0.727,0.536,0.893,0.889
33,0.78,0.889,0.64,0.92,0.744,0.583,0.838,0.875
34,0.78,0.889,0.64,0.92,0.744,0.583,0.894,0.908
35,0.82,0.944,0.68,0.96,0.791,0.667,0.912,0.928
36,0.8,0.941,0.64,0.96,0.762,0.633,0.893,0.879
37,0.78,0.889,0.64,0.92,0.744,0.583,0.933,0.941
38,0.78,0.889,0.64,0.92,0.744,0.583,0.885,0.863
39,0.74,0.8,0.64,0.84,0.711,0.49,0.846,0.842
40,0.78,0.889,0.64,0.92,0.744,0.583,0.856,0.849
41,0.8,0.941,0.64,0.96,0.762,0.633,0.91,0.883
42,0.74,0.833,0.6,0.88,0.698,0.5,0.84,0.861
43,0.82,1.0,0.64,1.0,0.78,0.686,0.896,0.921
44,0.78,0.889,0.64,0.92,0.744,0.583,0.862,0.845
45,0.82,0.944,0.68,0.96,0.791,0.667,0.944,0.943
46,0.76,0.842,0.64,0.88,0.727,0.536,0.867,0.842
47,0.76,0.842,0.64,0.88,0.727,0.536,0.88,0.85
48,0.74,0.833,0.6,0.88,0.698,0.5,0.869,0.883
49,0.72,0.762,0.64,0.8,0.696,0.446,0.819,0.801
50,0.76,0.842,0.64,0.88,0.727,0.536,0.854,0.874
51,0.82,1.0,0.64,1.0,0.78,0.686,0.869,0.906
52,0.8,0.941,0.64,0.96,0.762,0.633,0.888,0.901
53,0.82,0.944,0.68,0.96,0.791,0.667,0.936,0.94
54,0.82,0.944,0.68,0.96,0.791,0.667,0.933,0.939
55,0.78,0.85,0.68,0.88,0.756,0.572,0.893,0.9
56,0.8,0.941,0.64,0.96,0.762,0.633,0.882,0.867
57,0.84,1.0,0.68,1.0,0.81,0.718,0.918,0.935
58,0.82,0.944,0.68,0.96,0.791,0.667,0.893,0.914
59,0.8,0.941,0.64,0.96,0.762,0.633,0.883,0.889
60,0.8,0.941,0.64,0.96,0.762,0.633,0.866,0.9
61,0.74,0.8,0.64,0.84,0.711,0.49,0.794,0.829
62,0.78,0.889,0.64,0.92,0.744,0.583,0.84,0.879
63,0.76,0.842,0.64,0.88,0.727,0.536,0.846,0.857
64,0.82,1.0,0.64,1.0,0.78,0.686,0.955,0.961
65,0.82,0.944,0.68,0.96,0.791,0.667,0.923,0.923
66,0.8,0.941,0.64,0.96,0.762,0.633,0.915,0.916
67,0.8,0.941,0.64,0.96,0.762,0.633,0.896,0.899
68,0.78,0.889,0.64,0.92,0.744,0.583,0.854,0.871
69,0.78,0.889,0.64,0.92,0.744,0.583,0.872,0.888
70,0.78,0.889,0.64,0.92,0.744,0.583,0.917,0.921
71,0.8,0.941,0.64,0.96,0.762,0.633,0.882,0.906
72,0.82,0.944,0.68,0.96,0.791,0.667,0.946,0.935
73,0.78,0.85,0.68,0.88,0.756,0.572,0.886,0.873
74,0.78,0.889,0.64,0.92,0.744,0.583,0.845,0.839
75,0.72,0.762,0.64,0.8,0.696,0.446,0.862,0.884
76,0.8,0.895,0.68,0.92,0.773,0.618,0.915,0.925
77,0.76,0.842,0.64,0.88,0.727,0.536,0.867,0.875
78,0.84,1.0,0.68,1.0,0.81,0.718,0.955,0.966
79,0.78,0.889,0.64,0.92,0.744,0.583,0.899,0.913
80,0.84,1.0,0.68,1.0,0.81,0.718,0.946,0.955
81,0.76,0.842,0.64,0.88,0.727,0.536,0.886,0.897
82,0.76,0.842,0.64,0.88,0.727,0.536,0.835,0.845
83,0.82,0.944,0.68,0.96,0.791,0.667,0.955,0.955
84,0.78,0.85,0.68,0.88,0.756,0.572,0.867,0.857
85,0.8,0.895,0.68,0.92,0.773,0.618,0.93,0.939
86,0.78,0.889,0.64,0.92,0.744,0.583,0.918,0.914
87,0.8,0.941,0.64,0.96,0.762,0.633,0.885,0.888
88,0.76,0.842,0.64,0.88,0.727,0.536,0.84,0.871
89,0.82,0.944,0.68,0.96,0.791,0.667,0.898,0.905
90,0.82,1.0,0.64,1.0,0.78,0.686,0.934,0.947
91,0.74,0.8,0.64,0.84,0.711,0.49,0.866,0.873
92,0.82,0.944,0.68,0.96,0.791,0.667,0.928,0.937
93,0.76,0.842,0.64,0.88,0.727,0.536,0.878,0.887
94,0.76,0.842,0.64,0.88,0.727,0.536,0.877,0.844
95,0.78,0.889,0.64,0.92,0.744,0.583,0.859,0.866
96,0.78,0.889,0.64,0.92,0.744,0.583,0.87,0.832
97,0.74,0.8,0.64,0.84,0.711,0.49,0.835,0.823
98,0.72,0.789,0.6,0.84,0.682,0.453,0.862,0.883
99,0.82,1.0,0.64,1.0,0.78,0.686,0.901,0.927
100,0.8,0.941,0.64,0.96,0.762,0.633,0.909,0.912
101,0.82,1.0,0.64,1.0,0.78,0.686,0.933,0.944
