name,score,pred_label
Gas5,1.0,1
5430416N02Rik,1.0,1
Malat1,1.0,1
Snhg12,1.0,1
Xist,1.0,1
2410006H16Rik,1.0,1
Meg3,1.0,1
4933404O12Rik,1.0,1
AC152164.1,1.0,1
Gm17106,1.0,1
1110038B12Rik,1.0,1
2410004N09Rik,1.0,1
Gm20417,1.0,1
Tug1,1.0,1
Gm11974,1.0,1
Gm15564,1.0,1
9430008C03Rik,1.0,1
Sox2ot,1.0,1
2610307P16Rik,1.0,1
Mir17hg,1.0,1
Gm12940,1.0,1
4930586N03Rik,1.0,1
Airn,1.0,1
Gm16023,1.0,1
4632419I22Rik,1.0,1
6720401G13Rik,1.0,1
Gm11602,1.0,1
Gm17494,1.0,1
Gm13483,1.0,1
Gm16599,1.0,1
Ftx,1.0,1
Gm12359,1.0,1
Ttc28,1.0,1
Gm15614,1.0,1
3110056K07Rik,1.0,1
1700123O12Rik,1.0,1
Gm15283,1.0,1
A930015D03Rik,1.0,1
6820431F20Rik,1.0,1
Gm11508,1.0,1
Gm17344,1.0,1
9330159M07Rik,1.0,1
1700020I14Rik,1.0,1
1700084C06Rik,1.0,1
Frmd4a,1.0,1
AC025794.1,1.0,1
2610035D17Rik,1.0,1
2210013O21Rik,1.0,1
Gm4876,1.0,1
Gm12592,1.0,1
Gm14634,1.0,1
Tsix,1.0,1
E130307A14Rik,1.0,1
4930557F10Rik,1.0,1
Gm20536,1.0,1
A230103J11Rik,1.0,1
Snhg5,1.0,1
Gm16365,1.0,1
Gm12992,1.0,1
4930469K13Rik,1.0,1
4930511M06Rik,1.0,1
1500017E21Rik,1.0,1
D030028A08Rik,1.0,1
9630028H03Rik,1.0,1
4930555B11Rik,1.0,1
Gm14005,1.0,1
2900056M20Rik,1.0,1
Gm15645,1.0,1
NONMMUG013725,1.0,1
Gm16178,1.0,1
Gm12648,1.0,1
Oaz2,1.0,1
Pisd-ps1,1.0,1
Gm12680,1.0,1
1700006P19Rik,1.0,1
Gm15441,1.0,1
Mirg,1.0,1
Gm17300,1.0,1
linc1476,1.0,1
Gm16586,1.0,1
Gm11867,1.0,1
Gm14643,1.0,1
A230004M16Rik,1.0,1
Gm13147,1.0,1
Gm13507,1.0,1
5830428H23Rik,1.0,1
Gm16724,1.0,1
Gm4117,1.0,1
linc1458,1.0,1
9530036O11Rik,1.0,1
2210408F21Rik,1.0,1
4930405P13Rik,1.0,1
5530601H04Rik,1.0,1
Gm12239,1.0,1
Gm15347,1.0,1
linc1343,1.0,1
Gm14164,1.0,1
Gm16163,1.0,1
BC042782,1.0,1
D030047H15Rik,1.0,1
AV039307,1.0,1
Gm20528,1.0,1
9430091E24Rik,1.0,1
Ppp4r1l-ps,1.0,1
Gm16278,1.0,1
2410133F24Rik,1.0,1
2900076A07Rik,1.0,1
Gm14661,1.0,1
NONMMUG028306,1.0,1
1700091E21Rik,1.0,1
BC023719,1.0,1
5330434G04Rik,1.0,1
Gm14471,1.0,1
4930599N23Rik,1.0,1
Gm11944,1.0,1
D330022K07Rik,1.0,1
AL732311.1,1.0,1
Ptprd,1.0,1
A230108P19Rik,1.0,1
1700112D23Rik,1.0,1
Gm15601,1.0,1
Gm13402,1.0,1
Gm12296,1.0,1
9130019P16Rik,1.0,1
Camta1,1.0,1
Camk1d,1.0,1
NONMMUG038161,1.0,1
Gm15787,1.0,1
Gm15938,1.0,1
Zbtb20,1.0,1
Gm17200,1.0,1
Hnrnpl,1.0,1
Gm14066,1.0,1
Gm17029,1.0,1
Gm15941,1.0,1
Pisd-ps2,1.0,1
Gm16953,1.0,1
4933430M04Rik,1.0,1
Fam169b,1.0,1
C130071C03Rik,1.0,1
Gm15491,1.0,1
Gm15581,1.0,1
Gm13974,1.0,1
Gm16516,1.0,1
Rmst,1.0,1
1300002E11Rik,1.0,1
Trmt61b,1.0,1
Gm16279,1.0,1
1700006D18Rik,1.0,1
B930095G15Rik,1.0,1
Gm14858,1.0,1
Gm13008,1.0,1
6330549D23Rik,1.0,1
Dlx1as,1.0,1
4933407K13Rik,1.0,1
4933406I18Rik,1.0,1
5430417L22Rik,1.0,1
Gm11280,1.0,1
Tpm1,1.0,1
Spata5,1.0,1
Nespas,1.0,1
Gnas,1.0,1
Gm17480,1.0,1
Zfp133-ps,1.0,1
Gm15623,1.0,1
Nisch,1.0,1
Ctbp2,1.0,1
2900089D17Rik,1.0,1
AI854517,1.0,1
Snord17,1.0,1
Slit3,1.0,1
Ppp3ca,1.0,1
Rps8,1.0,1
Rtn4,0.0031987829810243306,0
Tcf4,0.999999950315952,1
Kcnip1,1.0,1
4930579G18Rik,1.0,1
Gm12514,1.0,1
Arid2,1.0,1
7SK,1.0,1
A730017L22Rik,1.0,1
Eif4g2,1.0,1
AY172335.12,1.0,1
Mir22hg,1.0,1
Gm17036,1.0,1
Gm10649,1.0,1
NONMMUG044341,1.0,1
Asap1,1.0,1
4930473A02Rik,1.0,1
Pde4d,1.0,1
2810008D09Rik,1.0,1
Gm15398,1.0,1
Atp10d,1.0,1
Gm15832,1.0,1
Gm14820,1.0,1
Gm16093,1.0,1
Gt(ROSA)26Sor,1.0,1
4833417C18Rik,1.0,1
R74862,1.0,1
4933431K23Rik,1.0,1
Gm17058,1.0,1
4930405D11Rik,1.0,1
1700024P03Rik,1.0,1
Gm13563,1.0,1
Gm12758,1.0,1
A730081D07Rik,1.0,1
E130102H24Rik,1.0,1
Gm11457,1.0,1
C230035I16Rik,1.0,1
2810403D21Rik,1.0,1
Gm15738,1.0,1
Gm15816,1.0,1
1700016P03Rik,1.0,1
4930556N13Rik,1.0,1
Eif4a2,1.0,1
4930593A02Rik,1.0,1
linc1317,1.0,1
Gm15886,1.0,1
9130204K15Rik,1.0,1
Gm9929,1.0,1
Gm12841,1.0,1
linc1509,1.0,1
Luc7l2,1.0,1
Mysm1,1.0,1
4933421O10Rik,1.0,1
A230072C01Rik,1.0,1
Tcf7l2,1.0,1
Gm2245,1.0,1
4933423P22Rik,1.0,1
4930594M22Rik,1.0,1
Gm13610,1.0,1
Gm13847,1.0,1
Gm15336,1.0,1
Fus,2.8823380198152636e-05,0
5430405H02Rik,1.0,1
AC107641.2,1.0,1
Zmynd8,1.0,1
A730090N16Rik,1.0,1
Gm2373,1.0,1
2310014F06Rik,1.0,1
Foxp1,0.00017452642690822268,0
Zfp407,1.0,1
Nptn,1.0,1
Gm16154,1.0,1
C530005A16Rik,1.0,1
Grb10,1.0,1
D230017M19Rik,1.0,1
Gm16898,1.0,1
Rps6kb1,1.0,1
Gm10785,1.0,1
Gm15680,1.0,1
Gm15492,1.0,1
Nrf1,1.0,1
Ssr3,0.9999999999998148,1
B230216N24Rik,1.0,1
Gm16320,1.0,1
Sptbn1,2.8823380198152636e-05,0
5830444B04Rik,1.0,1
Unc5c,1.0,1
Gm17215,1.0,1
Itsn1,1.0,1
BC006965,1.0,1
4930581F22Rik,1.0,1
Gm11583,1.0,1
C330013F16Rik,1.0,1
Gm13912,1.0,1
Gm11337,1.0,1
Cadm1,1.0,1
Lrrc8d,1.0,1
Wbscr25,1.0,1
Neat1,1.0,1
Tmem56,1.0,1
Gm15559,1.0,1
8030451A03Rik,1.0,1
Kcnq1ot1,1.0,1
Gm13634,1.0,1
4930440I19Rik,1.0,1
2010012P19Rik,1.0,1
Dgcr8,1.0,1
A930028C08Rik,1.0,1
A530013C23Rik,1.0,1
NONMMUG012545,1.0,1
1810062O18Rik,1.0,1
AI480526,1.0,1
Ddx39b,1.0,1
linc1385,1.0,1
Gm16172,1.0,1
A830082K12Rik,1.0,1
Gm15415,1.0,1
Gm16736,1.0,1
4930556N08Rik,1.0,1
Gm13629,1.0,1
Gm16549,1.0,1
A230056P14Rik,1.0,1
Gm15338,1.0,1
C130046K22Rik,1.0,1
Gm16751,1.0,1
Gm16083,1.0,1
Gm13938,1.0,1
0610043K17Rik,1.0,1
Gm20457,1.0,1
Gm17201,1.0,1
Gm11632,1.0,1
Has2as,1.0,1
Gm10701,1.0,1
3010001F23Rik,1.0,1
Pkp4,1.0,1
1700045H11Rik,1.0,1
Gm1992,1.0,1
Gm17523,1.0,1
Phtf2,1.0,1
Gm2415,1.0,1
1700094C10Rik,1.0,1
4632427E13Rik,1.0,1
8430403D17Rik,1.0,1
Gm12868,1.0,1
Rmrp,1.0,1
Son,1.0,1
Pbx1,1.0,1
C230004F18Rik,1.0,1
Rab14,1.0,1
Gm12207,1.0,1
Gm15406,1.0,1
Hspa8,1.0,1
Ctnnd1,1.0,1
Mdm2,1.0,1
Ythdc1,1.0,1
4930517O19Rik,1.0,1
Ahdc1,1.0,1
Setd5,1.0,1
Nktr,1.0,1
Rpl23,1.0,1
Gm17627,1.0,1
5830418P13Rik,1.0,1
2610005L07Rik,1.0,1
Gm16156,1.0,1
Caprin1,2.8823380198152636e-05,0
Nfix,0.841013663288648,1
Asah1,0.9978754037597598,1
Gm10863,1.0,1
Smad3,1.0,1
Gm11052,1.0,1
Mllt10,0.8283022768695524,1
Zfp260,1.0,1
Usp14,1.0,1
Gm15964,1.0,1
Gm15218,1.0,1
Usp48,2.8823380198152636e-05,0
Gm16759,1.0,1
Brwd1,1.0,1
Gm17683,1.0,1
NONMMUG015993,1.0,1
Gm13067,1.0,1
Gm17122,1.0,1
Gm13589,1.0,1
Pten,1.0,1
Jarid2,1.0,1
Gpatch8,1.0,1
Arid4b,2.8823380198152636e-05,0
Sec24b,1.0,1
Hnrnpu,4.860985378006591e-05,0
Atp5g3,2.8823380198152636e-05,0
Hnrpdl,2.8823380198152636e-05,0
NONMMUG033359,1.0,1
Gls,1.0,1
Gm12971,1.0,1
Gm13481,1.0,1
Ube2e2,1.0,1
Gm17021,1.0,1
Raly,1.0,1
Rad23b,2.8823380198152636e-05,0
Etl4,1.0,1
Psmd14,1.0,1
Ppard,1.0,1
Kpna1,1.0,1
Pgs1,1.0,1
Sgip1,1.0,1
Tmem135,1.0,1
Vmp1,2.8823380198152636e-05,0
Bcas3,1.0,1
Srsf5,2.8823380198152636e-05,0
Gm15337,1.0,1
Wac,1.0,1
A930007I19Rik,1.0,1
Inpp5a,1.0,1
Hnrnpd,1.0,1
Gm13856,1.0,1
Gm11476,1.0,1
Gm15414,1.0,1
1700064E03Rik,1.0,1
B230398E01Rik,1.0,1
Sfrs18,1.0,1
Gm16268,1.0,1
9330158H04Rik,1.0,1
Nckap5,1.0,1
Gm16978,1.0,1
Gm15718,1.0,1
Dst,1.0,1
Tor1aip1,1.0,1
Usp7,1.0,1
Cald1,1.0,1
4930445B16Rik,1.0,1
Gm16541,1.0,1
H3f3b,2.8823380198152636e-05,0
Gm20548,1.0,1
Cux2,1.0,1
Tanc1,1.0,1
8030453O22Rik,1.0,1
1700030G06Rik,1.0,1
Apbb2,1.0,1
9230114K14Rik,1.0,1
Gm13986,1.0,1
Gm10658,1.0,1
BC039771,1.0,1
Gm17139,1.0,1
Gm16068,1.0,1
A330023F24Rik,1.0,1
A230006K03Rik,1.0,1
Sorcs2,1.0,1
NONMMUG010032,1.0,1
Tmem164,1.0,1
4930405A21Rik,1.0,1
Mrpl33,1.0,1
Macrod2,1.0,1
Gm16568,1.0,1
Gm15563,1.0,1
Gm15246,1.0,1
1700011J10Rik,1.0,1
Gm17023,1.0,1
Mphosph8,1.0,1
Atf2,1.0,1
Tcp1,1.0,1
4930448K12Rik,1.0,1
Smim1,1.0,1
Frmd4b,1.0,1
Gm15788,1.0,1
E530001K10Rik,1.0,1
Gm13227,1.0,1
Gm11973,1.0,1
Gm12743,1.0,1
Wwox,1.0,1
4930471I20Rik,1.0,1
Gm15751,1.0,1
4930524L23Rik,1.0,1
Gm17279,1.0,1
Gm13830,1.0,1
0610040F04Rik,1.0,1
Gm14372,1.0,1
A530058N18Rik,1.0,1
Gm17090,1.0,1
B130055M24Rik,1.0,1
A330040F15Rik,1.0,1
Gm16984,1.0,1
Gm13832,1.0,1
Gm13558,1.0,1
NONMMUG017704,1.0,1
Gm16832,1.0,1
2410137F16Rik,1.0,1
Eif4g3,1.0,1
Gm12905,1.0,1
Gm7580,1.0,1
Plcb4,0.9999999999999902,1
Calu,1.0,1
Gm16168,1.0,1
NONMMUG023427,1.0,1
Agps,1.0,1
Gm14236,1.0,1
Gm16235,1.0,1
Gm17536,1.0,1
Arid1a,2.8823380198152636e-05,0
Atxn2,1.0,1
BB557941,1.0,1
Serinc1,1.0,1
Wsb2,1.0,1
Zeb1,1.0,1
1700001G01Rik,1.0,1
Srrm3,1.0,1
Ehbp1,1.0,1
Phf21a,1.0,1
Zfp644,1.0,1
4933431E20Rik,1.0,1
Mkln1,2.8823380198152636e-05,0
Aurka,1.0,1
9130024F11Rik,1.0,1
Zfr,1.0,1
Nkx2-2as,1.0,1
Gm17403,1.0,1
Snd1,1.0,1
Gm16626,1.0,1
Baz2b,1.0,1
Mtch2,2.8823380198152636e-05,0
Gm13562,1.0,1
4930470G03Rik,1.0,1
Sgms1,1.0,1
Rnf10,2.8823380198152636e-05,0
Nlk,1.0,1
Gm17317,1.0,1
Gabpa,2.8823380198152636e-05,0
Smchd1,2.8823380198152636e-05,0
Gm12132,1.0,1
Gm20470,1.0,1
Snhg1,1.0,1
Gm20529,1.0,1
4932412D23Rik,1.0,1
Gm16889,1.0,1
Arih1,1.0,1
Cox16,1.0,1
Gm11932,1.0,1
Zmat3,1.0,1
Lnp,2.8823380198152636e-05,0
Aak1,1.0,1
Cnbp,2.8823380198152636e-05,0
Tulp4,1.0,1
Phf20,1.0,1
Gm16343,1.0,1
Acin1,1.0,1
Gm16352,1.0,1
Snrpb,1.0,1
Nop56,1.0,1
Tspan9,1.0,1
Ahcyl2,1.0,1
Rif1,1.0,1
Gm17057,1.0,1
Pcmtd1,1.0,1
Pard3,1.0,1
Huwe1,1.0,1
Foxn3,1.0,1
Luzp1,1.0,1
H2afy,1.0,1
Znrf1,1.0,1
NONMMUG019341,2.8823380198152636e-05,0
4931440J10Rik,1.0,1
Asph,1.0,1
Ncor2,1.0,1
Gm16933,1.0,1
Orc4,2.8823380198152636e-05,0
Ybx1,2.8823380198152636e-05,0
Pum2,1.0,1
NONMMUG038759,2.8823380198152636e-05,0
NONMMUG018713,2.8823380198152636e-05,0
Npepps,1.0,1
Tlk2,1.0,1
Gm15983,1.0,1
Nufip2,1.0,1
8430429K09Rik,1.0,1
0610009E02Rik,1.0,1
Ube4b,1.0,1
A530017D24Rik,1.0,1
