0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,label
NEAT1,0.657764,0.397301,1.056311,-0.487265,-0.242364,-0.238638,-0.680903,-0.284167,-0.328105,-0.149298,-0.551642,-0.002824,0.191884,0.465670,0.103372,0.070544,-0.557902,0.059294,0.480513,0.757599,-0.190652,-0.378487,0.253437,0.274241,0.285173,0.655771,0.014616,-0.130169,-0.087033,0.355524,0.196671,0.103052,-0.452052,-0.389833,-0.191135,0.326732,0.789367,0.232177,0.075832,-0.209759,-0.781339,-0.078302,0.532336,-0.660868,-0.218195,-0.912756,-0.567499,-0.036877,-0.455584,-0.498589,0.779531,1.344658,-0.420653,-0.739173,-0.472601,-0.202913,0.536933,-0.604487,-0.411320,0.539887,0.226079,-0.768745,0.098692,-0.456439,1
SNHG1,0.805071,0.579590,0.763928,-0.357948,-0.033152,-0.399332,-0.471675,0.014222,-0.260753,-0.051756,-0.168167,-0.105436,0.264604,0.308199,-0.119373,-0.323285,-0.035894,-0.449111,0.064931,0.357722,-0.178854,-0.075836,0.444572,0.543010,-0.105242,0.003833,0.197820,0.062305,0.156407,-0.189896,0.288061,0.386366,-0.599553,0.290685,0.074913,0.347293,0.594650,0.494787,0.444124,-0.199900,-0.381820,0.202107,0.105450,-0.091825,-0.014637,-0.844591,-0.412476,-0.490355,-0.242145,0.075353,0.054689,0.397522,-0.267446,-0.243713,-0.282768,-0.235520,0.227444,-0.051682,0.353049,0.247639,0.107681,0.115570,-0.037528,-0.491046,1
GAS5,0.498278,0.919156,0.774472,-0.389530,-0.088997,-0.548173,-0.345861,-0.059287,-0.143811,-0.150056,-0.133590,-0.200240,0.049308,0.424216,-0.209292,-0.496846,-0.066543,-0.351692,-0.234463,0.429102,-0.175824,-0.083665,0.176811,0.392177,0.025962,-0.293932,0.171581,0.231499,0.195182,0.172223,0.301356,0.365194,-0.423102,0.291146,0.102168,0.370412,0.585053,0.350506,0.096140,-0.042170,-0.578358,0.049001,0.095080,-0.370531,0.022496,-0.728874,-0.372547,-0.221389,-0.360677,0.215822,0.015414,0.737489,-0.291590,-0.246920,-0.169706,-0.260382,0.125382,-0.212319,0.287994,0.124767,0.143098,0.022094,0.278710,-0.180133,1
SNHG5,0.448732,0.816056,0.612203,-0.485519,0.178484,-0.481170,-0.413632,-0.064099,-0.075978,-0.100311,-0.103321,-0.121930,0.093467,0.325997,-0.284737,-0.271631,-0.170745,-0.320685,-0.357938,0.472401,-0.110643,-0.036827,0.169445,0.347454,0.129857,-0.237230,0.124136,0.293387,0.198097,0.054915,0.104053,0.390770,-0.352247,0.378675,0.176508,0.380084,0.494887,0.233991,0.032383,-0.122480,-0.641326,-0.084364,-0.039811,-0.206116,-0.036849,-0.597264,-0.400374,-0.199302,-0.282794,0.152820,-0.070713,0.629569,-0.476521,-0.304970,-0.283255,-0.249848,0.113735,-0.285982,0.174299,0.043117,0.175229,-0.143890,0.297959,0.109149,1
XIST,0.782762,0.803643,0.762218,-0.274538,0.219467,-0.497268,-0.482142,0.081257,-0.425150,-0.226770,0.046415,-0.245686,0.172413,-0.031935,-0.366341,-0.130498,0.045662,-0.443906,-0.037663,0.340236,0.025049,0.080423,0.300334,0.319117,-0.035021,0.063555,-0.020713,0.048864,0.116305,-0.044982,0.268543,0.349008,-0.532243,0.409971,0.111806,0.446529,0.459140,0.249779,0.441163,-0.075022,-0.341560,0.253702,0.072659,-0.140697,-0.128425,-0.648789,-0.327809,-0.380142,-0.201038,0.197171,-0.118935,0.630131,-0.267078,-0.291791,-0.267081,-0.168725,0.058948,-0.157794,0.214118,0.171584,0.138333,0.120956,0.337118,-0.134275,1
TUG1,0.747177,0.695981,0.785994,-0.316989,0.317287,-0.567186,-0.558681,0.000143,-0.295168,-0.170168,-0.051385,-0.113365,0.176902,0.005139,-0.263625,-0.053073,0.000723,-0.445097,-0.159743,0.410988,-0.053122,0.051516,0.236758,0.406442,0.026326,0.091118,0.086244,0.031960,0.222678,-0.050085,0.128146,0.418481,-0.485439,0.429799,0.186391,0.370684,0.442285,0.255677,0.339009,-0.167814,-0.471267,0.288633,0.005173,-0.065685,-0.019818,-0.687570,-0.368206,-0.347078,-0.204394,0.012088,-0.106734,0.556173,-0.269761,-0.194680,-0.222480,-0.234365,0.129004,-0.191486,0.345202,0.055000,0.259441,0.017945,0.213375,-0.034588,1
RMRP,0.764555,0.671334,0.629336,-0.160490,0.210418,-0.457377,-0.410402,0.028763,-0.358483,-0.132114,-0.127847,0.088297,0.275100,0.056351,-0.183695,0.096183,-0.007340,-0.386341,-0.119609,0.244429,0.112730,0.097439,0.227002,0.141052,0.118893,-0.073066,0.020486,0.150394,0.212856,-0.205010,0.054091,0.286399,-0.411496,0.299025,0.081389,0.417674,0.324693,0.233302,0.336568,-0.118554,-0.494933,0.138354,0.339057,-0.129631,0.087966,-0.576598,-0.473147,-0.352587,-0.227160,-0.054028,-0.078158,0.408282,-0.171847,-0.277533,-0.233379,-0.302407,0.098657,-0.099589,0.251737,0.267146,0.226897,0.018123,0.408283,-0.045350,1
NONHSAG013514,0.655680,0.600983,0.713165,-0.143895,0.294793,-0.419140,-0.493691,-0.107404,-0.349473,-0.144706,-0.126493,0.058280,0.212577,0.052137,-0.209636,0.064424,0.001624,-0.395742,-0.089556,0.244134,-0.006083,0.132393,0.155181,0.135679,0.071429,-0.015931,0.005608,0.138302,0.228075,-0.200984,-0.013511,0.296640,-0.406994,0.408379,0.143798,0.289354,0.232347,0.201711,0.329387,-0.109197,-0.485563,0.201491,0.203626,-0.092394,0.130238,-0.547110,-0.395020,-0.295398,-0.196340,-0.072015,-0.032023,0.363008,-0.320930,-0.201363,-0.247134,-0.266474,0.076920,-0.194139,0.269292,0.202994,0.328422,-0.028877,0.374263,-0.077196,1
JPX,0.669308,0.563812,0.674098,-0.197121,0.257983,-0.450223,-0.455783,-0.115987,-0.361055,-0.135217,-0.107132,0.015674,0.200947,0.035561,-0.113763,0.090380,-0.022423,-0.361596,-0.107538,0.283379,-0.099293,0.160602,0.221601,0.108479,0.118707,-0.078780,-0.024987,0.109699,0.247456,-0.295633,-0.063615,0.342528,-0.439842,0.418972,0.160651,0.280264,0.268726,0.180592,0.307128,-0.075032,-0.490614,0.216904,0.205662,-0.093633,0.082923,-0.590294,-0.317168,-0.238738,-0.214498,-0.094980,-0.003651,0.309198,-0.365743,-0.215258,-0.250806,-0.242016,0.088170,-0.228611,0.269544,0.135660,0.324575,-0.003853,0.355952,-0.026227,1
LINC00657,0.504807,0.561832,0.472932,-0.277572,0.239245,-0.433393,-0.220123,-0.066212,-0.176827,-0.118591,0.094913,-0.203223,0.108404,0.325280,-0.148168,0.059505,-0.227016,-0.120080,-0.042055,0.119390,0.188650,0.065904,0.228482,0.306614,-0.012015,0.119542,-0.001474,-0.041348,0.068124,-0.077240,0.141175,0.235497,-0.219618,0.188109,0.327566,-0.017886,0.092335,0.300970,0.200206,-0.133010,-0.561728,0.234628,0.114402,-0.107167,-0.089843,-0.510933,-0.423734,-0.337234,-0.023342,-0.075519,-0.019526,0.371006,-0.104399,-0.199795,-0.286678,-0.227804,0.079413,-0.138032,0.375753,0.050757,0.357088,-0.218141,0.040756,0.202350,1
SOX2-OT,0.521647,0.828631,0.632443,-0.193786,0.107782,-0.460174,-0.554230,0.060271,-0.387831,-0.106087,-0.217395,0.019067,0.244021,0.119264,-0.019111,-0.074105,-0.271229,-0.185028,-0.258189,0.398446,0.031359,0.097861,0.340331,0.258531,0.243480,-0.267139,0.158327,0.340485,0.258654,-0.212258,-0.112661,0.175599,-0.135730,0.238069,0.057464,0.069269,0.182538,0.309645,0.127225,-0.199882,-0.486509,0.206072,0.293744,-0.157511,-0.014410,-0.604647,-0.392649,-0.183878,-0.145183,0.046015,-0.099486,0.386585,-0.206584,-0.223953,-0.128252,-0.094413,0.067696,-0.128877,0.069140,0.025397,0.154298,-0.199203,0.397660,0.093540,1
AC084018.1,0.649437,0.607795,0.687099,-0.215626,0.213878,-0.468493,-0.438769,-0.133062,-0.455628,-0.078133,-0.073839,0.151692,0.312429,0.021414,-0.088731,0.160886,0.045777,-0.237302,-0.182151,0.349528,-0.044550,0.124832,0.260657,0.187660,0.071601,-0.068838,-0.075957,0.143450,0.277188,-0.253662,-0.031743,0.283884,-0.279137,0.358467,0.037821,0.362972,0.164937,0.289312,0.272602,-0.021662,-0.518839,0.146906,0.240782,0.001865,0.161875,-0.589905,-0.444133,-0.267230,-0.156535,-0.168871,-0.075178,0.252513,-0.317359,-0.176380,-0.264119,-0.296254,0.109818,-0.157618,0.366037,0.158798,0.281112,0.033213,0.474427,-0.145474,1
SNHG6,0.460476,0.918791,0.638648,-0.534903,0.057565,-0.496098,-0.441406,0.022351,-0.191850,-0.044278,-0.107536,-0.168482,0.175608,0.263950,-0.211492,-0.229290,-0.217173,-0.421634,-0.475189,0.567218,-0.150821,0.015829,0.216397,0.435233,0.163858,-0.231246,0.205987,0.279121,0.195861,0.055219,0.066119,0.413810,-0.263557,0.407323,0.138227,0.335763,0.450433,0.315735,-0.039211,-0.053336,-0.510948,-0.095622,-0.084516,-0.195832,0.078957,-0.618624,-0.320157,-0.216264,-0.160844,0.242743,-0.023548,0.693349,-0.350616,-0.250589,-0.204459,-0.264133,0.236283,-0.348465,0.115670,0.120442,0.178598,-0.218098,0.245291,-0.090103,1
MCM3AP-AS1,0.576534,0.644105,0.844930,-0.105080,-0.013754,-0.508439,-0.397155,-0.117726,-0.395978,-0.047761,-0.242080,-0.006204,0.227448,0.182248,-0.002112,-0.255129,0.030204,-0.310038,-0.118554,0.311511,-0.284290,0.041869,0.216588,0.195922,0.165489,-0.106349,0.025438,0.041457,0.324600,-0.279274,0.068429,0.301668,-0.295613,0.353509,0.182142,0.293743,0.358786,0.338340,0.267642,-0.107763,-0.475126,0.250713,0.215526,-0.314156,0.285207,-0.584021,-0.309828,-0.301103,-0.231125,-0.252342,0.104305,0.352767,-0.228504,-0.050136,-0.184625,-0.319440,0.114193,-0.163721,0.367450,0.241229,0.289114,0.078653,0.247857,-0.314934,1
ZFAS1,0.468658,0.615737,0.392456,-0.235720,0.132493,-0.348863,-0.097775,-0.077723,-0.210446,-0.161321,0.057285,-0.107656,0.055413,0.304108,-0.086852,0.234488,-0.270206,-0.179366,-0.052481,0.132352,0.230890,0.095579,0.219792,0.133329,0.023807,0.024103,0.077780,-0.058920,0.087822,-0.235009,0.136164,0.237467,-0.180811,0.138912,0.312627,-0.017121,0.139104,0.317751,0.221866,-0.100860,-0.613193,0.254075,0.254435,-0.099754,0.001276,-0.532356,-0.389326,-0.380113,-0.146008,-0.122671,0.056729,0.367667,-0.007795,-0.222563,-0.228396,-0.211888,0.070065,-0.122881,0.352957,0.138395,0.402998,-0.180640,0.090992,0.158194,1
KCNQ1OT1,0.532620,0.296509,0.808901,-0.539988,-0.284349,-0.135978,-0.157989,0.205115,-0.225299,-0.443360,-0.338422,-0.713778,0.086706,1.073805,0.443975,-0.386662,-0.211550,-0.120300,0.312239,0.316311,-0.018691,0.035052,0.241441,0.440786,-0.070799,0.557684,0.041244,-0.262771,0.130083,-0.567910,-0.132269,0.058000,-0.201536,0.074821,0.516471,-0.296421,0.104575,0.349900,-0.369972,-0.329405,-0.719483,0.140350,0.485850,-0.655833,0.451071,-0.588939,-0.521027,-0.027671,-0.050958,-0.278854,0.378274,0.560297,-0.051209,-0.610701,-0.636862,-0.050938,-0.260566,-0.543123,0.726330,0.513159,0.213924,-0.230067,0.174245,-0.095245,1
LINC00338,0.383581,0.531802,0.480160,-0.270222,0.128384,-0.263589,-0.118197,-0.121258,-0.287262,-0.278391,0.096994,-0.170298,0.094563,0.286923,-0.102162,0.178918,-0.266897,-0.128331,-0.060241,0.169941,0.186723,0.095418,0.182675,0.218657,-0.027088,0.043889,0.055820,-0.031178,0.093418,-0.204530,0.071075,0.232323,-0.109498,0.228911,0.329015,-0.080131,-0.004637,0.314429,0.210853,-0.153391,-0.651884,0.306986,0.282517,-0.073094,0.005391,-0.454629,-0.321003,-0.384073,0.013758,-0.156820,0.076413,0.291219,-0.029458,-0.174080,-0.274051,-0.264219,0.047464,-0.072166,0.377254,0.102738,0.325170,-0.241509,0.115869,0.105019,1
