layer,max_iter,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR,,
4,200,0.940 ,0.958 ,0.920 ,0.960 ,0.939 ,0.881 ,0.947 ,0.955 ,,
4,400,0.940 ,0.958 ,0.920 ,0.960 ,0.939 ,0.881 ,0.947 ,0.955 ,,
4,600,0.940 ,0.958 ,0.920 ,0.960 ,0.939 ,0.881 ,0.947 ,0.955 ,,
4,800,0.940 ,0.958 ,0.920 ,0.960 ,0.939 ,0.881 ,0.947 ,0.955 ,,
4,1000,0.940 ,0.958 ,0.920 ,0.960 ,0.939 ,0.881 ,0.947 ,0.955 ,,
8,200,0.900 ,0.917 ,0.880 ,0.920 ,0.898 ,0.801 ,0.936 ,0.950 ,,
8,400,0.900 ,0.917 ,0.880 ,0.920 ,0.898 ,0.801 ,0.936 ,0.950 ,,
8,600,0.900 ,0.917 ,0.880 ,0.920 ,0.898 ,0.801 ,0.936 ,0.950 ,,
8,800,0.900 ,0.917 ,0.880 ,0.920 ,0.898 ,0.801 ,0.936 ,0.950 ,,
8,1000,0.900 ,0.917 ,0.880 ,0.920 ,0.898 ,0.801 ,0.936 ,0.950 ,,
16,200,0.880 ,0.880 ,0.880 ,0.880 ,0.880 ,0.760 ,0.940 ,0.947 ,,
16,400,0.880 ,0.880 ,0.880 ,0.880 ,0.880 ,0.760 ,0.940 ,0.947 ,,
16,600,0.880 ,0.880 ,0.880 ,0.880 ,0.880 ,0.760 ,0.940 ,0.947 ,,
16,800,0.880 ,0.880 ,0.880 ,0.880 ,0.880 ,0.760 ,0.940 ,0.947 ,,
16,1000,0.880 ,0.880 ,0.880 ,0.880 ,0.880 ,0.760 ,0.940 ,0.947 ,,
32,200,0.880 ,0.880 ,0.880 ,0.880 ,0.880 ,0.760 ,0.944 ,0.950 ,,
32,400,0.880 ,0.880 ,0.880 ,0.880 ,0.880 ,0.760 ,0.944 ,0.950 ,,
32,600,0.880 ,0.880 ,0.880 ,0.880 ,0.880 ,0.760 ,0.944 ,0.950 ,,
32,800,0.880 ,0.880 ,0.880 ,0.880 ,0.880 ,0.760 ,0.944 ,0.950 ,,
32,1000,0.880 ,0.880 ,0.880 ,0.880 ,0.880 ,0.760 ,0.944 ,0.950 ,,
,,,,,,,,,,,
,,,,,,,,,,,
