label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
label,0.786,0.793,0.773,0.799,0.783,0.572,0.818,0.846
label0,0.526,0.525,0.545,0.506,0.535,0.052,0.529,0.539
label1,0.545,0.548,0.519,0.571,0.533,0.091,0.537,0.506
label2,0.481,0.479,0.448,0.513,0.463,-0.039,0.481,0.497
label3,0.51,0.51,0.481,0.539,0.495,0.02,0.524,0.595
label4,0.494,0.494,0.494,0.494,0.494,-0.013,0.48,0.527
label5,0.51,0.51,0.474,0.545,0.492,0.02,0.468,0.527
label6,0.542,0.545,0.513,0.571,0.528,0.085,0.546,0.584
label7,0.487,0.488,0.526,0.448,0.506,-0.026,0.515,0.619
label8,0.503,0.503,0.468,0.539,0.485,0.007,0.523,0.543
label9,0.474,0.475,0.487,0.461,0.481,-0.052,0.458,0.543
label10,0.503,0.503,0.474,0.532,0.488,0.007,0.499,0.509
label11,0.487,0.486,0.461,0.513,0.473,-0.026,0.521,0.542
label12,0.5,0.5,0.519,0.481,0.51,0,0.477,0.529
label13,0.523,0.521,0.552,0.494,0.536,0.046,0.502,0.523
label14,0.558,0.556,0.578,0.539,0.567,0.117,0.577,0.641
label15,0.487,0.487,0.481,0.494,0.484,-0.026,0.459,0.481
label16,0.552,0.553,0.545,0.558,0.549,0.104,0.575,0.59
label17,0.487,0.487,0.494,0.481,0.49,-0.026,0.472,0.548
label18,0.503,0.503,0.494,0.513,0.498,0.006,0.528,0.592
label19,0.506,0.507,0.5,0.513,0.503,0.013,0.494,0.524
label20,0.425,0.424,0.416,0.435,0.42,-0.149,0.414,0.463
label21,0.51,0.51,0.5,0.519,0.505,0.019,0.531,0.583
label22,0.519,0.52,0.506,0.532,0.513,0.039,0.506,0.513
label23,0.51,0.51,0.487,0.532,0.498,0.02,0.491,0.55
label24,0.471,0.471,0.468,0.474,0.469,-0.058,0.444,0.469
label25,0.503,0.503,0.532,0.474,0.517,0.007,0.491,0.585
label26,0.481,0.48,0.468,0.494,0.474,-0.039,0.483,0.556
label27,0.519,0.519,0.519,0.519,0.519,0.039,0.522,0.557
label28,0.5,0.5,0.494,0.506,0.497,0,0.505,0.562
label29,0.451,0.45,0.435,0.468,0.442,-0.097,0.433,0.494
label30,0.474,0.474,0.474,0.474,0.474,-0.052,0.46,0.516
label31,0.539,0.537,0.565,0.513,0.551,0.078,0.53,0.587
label32,0.503,0.503,0.481,0.526,0.492,0.007,0.504,0.571
label33,0.419,0.413,0.383,0.455,0.397,-0.163,0.385,0.443
label34,0.5,0.5,0.474,0.526,0.487,0,0.498,0.545
label35,0.506,0.506,0.513,0.5,0.51,0.013,0.513,0.573
label36,0.477,0.477,0.468,0.487,0.472,-0.045,0.454,0.472
label37,0.455,0.453,0.442,0.468,0.447,-0.091,0.431,0.476
label38,0.435,0.432,0.409,0.461,0.42,-0.13,0.433,0.476
label39,0.468,0.47,0.506,0.429,0.488,-0.065,0.479,0.553
label40,0.484,0.484,0.487,0.481,0.485,-0.032,0.477,0.516
label41,0.494,0.494,0.494,0.494,0.494,-0.013,0.487,0.539
label42,0.552,0.549,0.578,0.526,0.563,0.104,0.55,0.621
label43,0.523,0.523,0.526,0.519,0.524,0.045,0.528,0.553
label44,0.471,0.474,0.526,0.416,0.498,-0.059,0.46,0.533
label45,0.497,0.497,0.539,0.455,0.517,-0.007,0.512,0.578
label46,0.477,0.477,0.468,0.487,0.472,-0.045,0.482,0.54
label47,0.481,0.48,0.474,0.487,0.477,-0.039,0.462,0.507
label48,0.503,0.504,0.442,0.565,0.471,0.007,0.494,0.508
label49,0.49,0.49,0.487,0.494,0.489,-0.019,0.491,0.546
label50,0.5,0.5,0.519,0.481,0.51,0,0.52,0.604
label51,0.487,0.488,0.519,0.455,0.503,-0.026,0.47,0.526
label52,0.529,0.528,0.545,0.513,0.537,0.058,0.544,0.614
label53,0.464,0.464,0.461,0.468,0.463,-0.071,0.458,0.501
label54,0.471,0.47,0.455,0.487,0.462,-0.058,0.458,0.513
label55,0.562,0.56,0.578,0.545,0.569,0.123,0.567,0.615
label56,0.481,0.481,0.487,0.474,0.484,-0.039,0.46,0.521
label57,0.458,0.456,0.435,0.481,0.445,-0.085,0.455,0.51
label58,0.5,0.5,0.519,0.481,0.51,0,0.491,0.537
label59,0.516,0.515,0.552,0.481,0.533,0.033,0.507,0.574
label60,0.565,0.563,0.578,0.552,0.571,0.13,0.58,0.635
label61,0.461,0.46,0.448,0.474,0.454,-0.078,0.453,0.504
label62,0.471,0.471,0.474,0.468,0.472,-0.058,0.427,0.512
label63,0.503,0.503,0.5,0.506,0.502,0.006,0.478,0.532
label64,0.523,0.523,0.513,0.532,0.518,0.045,0.532,0.59
label65,0.526,0.527,0.513,0.539,0.52,0.052,0.553,0.599
label66,0.487,0.488,0.532,0.442,0.509,-0.026,0.476,0.524
label67,0.5,0.5,0.513,0.487,0.506,0,0.464,0.547
label68,0.558,0.558,0.565,0.552,0.561,0.117,0.56,0.598
label69,0.529,0.529,0.539,0.519,0.534,0.058,0.529,0.567
label70,0.481,0.482,0.513,0.448,0.497,-0.039,0.45,0.533
label71,0.555,0.552,0.591,0.519,0.571,0.111,0.524,0.554
label72,0.49,0.49,0.481,0.5,0.485,-0.019,0.472,0.551
label73,0.481,0.481,0.487,0.474,0.484,-0.039,0.485,0.538
label74,0.516,0.515,0.545,0.487,0.53,0.033,0.508,0.515
label75,0.506,0.506,0.519,0.494,0.513,0.013,0.506,0.525
label76,0.516,0.516,0.526,0.506,0.521,0.032,0.53,0.579
label77,0.49,0.49,0.481,0.5,0.485,-0.019,0.494,0.522
label78,0.513,0.512,0.539,0.487,0.525,0.026,0.528,0.564
label79,0.49,0.49,0.494,0.487,0.492,-0.019,0.498,0.551
label80,0.458,0.458,0.455,0.461,0.456,-0.084,0.435,0.471
label81,0.51,0.51,0.5,0.519,0.505,0.019,0.478,0.486
label82,0.506,0.506,0.506,0.506,0.506,0.013,0.476,0.487
label83,0.51,0.51,0.506,0.513,0.508,0.019,0.503,0.518
label84,0.464,0.464,0.455,0.474,0.459,-0.071,0.451,0.484
label85,0.464,0.466,0.494,0.435,0.479,-0.072,0.439,0.456
label86,0.477,0.477,0.474,0.481,0.476,-0.045,0.481,0.524
label87,0.503,0.503,0.545,0.461,0.523,0.007,0.507,0.551
label88,0.481,0.482,0.513,0.448,0.497,-0.039,0.477,0.563
label89,0.487,0.487,0.494,0.481,0.49,-0.026,0.461,0.495
label90,0.516,0.515,0.545,0.487,0.53,0.033,0.511,0.563
label91,0.568,0.573,0.532,0.604,0.552,0.137,0.563,0.606
label92,0.516,0.516,0.539,0.494,0.527,0.033,0.519,0.593
label93,0.513,0.514,0.481,0.545,0.497,0.026,0.517,0.554
label94,0.555,0.552,0.584,0.526,0.568,0.111,0.546,0.559
label95,0.49,0.49,0.5,0.481,0.495,-0.019,0.488,0.562
label96,0.532,0.532,0.545,0.519,0.538,0.065,0.555,0.596
label97,0.506,0.506,0.506,0.506,0.506,0.013,0.539,0.603
label98,0.399,0.396,0.383,0.416,0.389,-0.201,0.356,0.425
label99,0.468,0.466,0.442,0.494,0.453,-0.065,0.452,0.528
label100,0.461,0.462,0.468,0.455,0.465,-0.078,0.462,0.493
label101,0.5,0.5,0.481,0.519,0.49,0,0.449,0.533
label102,0.549,0.552,0.519,0.578,0.535,0.098,0.537,0.574
label103,0.455,0.455,0.455,0.455,0.455,-0.091,0.446,0.508
label104,0.51,0.51,0.513,0.506,0.511,0.019,0.474,0.512
label105,0.468,0.468,0.468,0.468,0.468,-0.065,0.441,0.506
label106,0.481,0.481,0.5,0.461,0.49,-0.039,0.5,0.577
label107,0.487,0.487,0.474,0.5,0.48,-0.026,0.457,0.497
label108,0.471,0.472,0.5,0.442,0.486,-0.059,0.473,0.537
label109,0.539,0.539,0.532,0.545,0.536,0.078,0.53,0.6
label110,0.539,0.54,0.526,0.552,0.533,0.078,0.553,0.592
label111,0.455,0.455,0.461,0.448,0.458,-0.091,0.455,0.513
label112,0.484,0.483,0.474,0.494,0.479,-0.032,0.497,0.548
label113,0.526,0.526,0.526,0.526,0.526,0.052,0.532,0.594
label114,0.494,0.494,0.494,0.494,0.494,-0.013,0.461,0.5
label115,0.51,0.51,0.5,0.519,0.505,0.019,0.486,0.516
label116,0.458,0.456,0.442,0.474,0.449,-0.084,0.481,0.519
label117,0.458,0.455,0.429,0.487,0.441,-0.085,0.443,0.499
label118,0.571,0.57,0.584,0.558,0.577,0.143,0.548,0.616
label119,0.432,0.432,0.435,0.429,0.434,-0.136,0.419,0.49
label120,0.571,0.568,0.597,0.545,0.582,0.143,0.56,0.643
label121,0.416,0.417,0.422,0.409,0.419,-0.169,0.413,0.437
label122,0.51,0.51,0.5,0.519,0.505,0.019,0.522,0.562
label123,0.506,0.507,0.5,0.513,0.503,0.013,0.504,0.583
label124,0.477,0.476,0.448,0.506,0.462,-0.046,0.453,0.51
