label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
label,0.841,0.839,0.844,0.838,0.841,0.682,0.897,0.909
label0,0.461,0.463,0.494,0.429,0.478,-0.078,0.444,0.461
label1,0.51,0.509,0.539,0.481,0.524,0.02,0.5,0.499
label2,0.458,0.459,0.468,0.448,0.463,-0.084,0.473,0.493
label3,0.51,0.51,0.494,0.526,0.502,0.019,0.529,0.511
label4,0.506,0.506,0.539,0.474,0.522,0.013,0.492,0.472
label5,0.526,0.524,0.571,0.481,0.547,0.052,0.491,0.473
label6,0.497,0.497,0.5,0.494,0.498,-0.006,0.504,0.484
label7,0.487,0.486,0.468,0.506,0.477,-0.026,0.504,0.52
label8,0.481,0.481,0.481,0.481,0.481,-0.039,0.465,0.476
label9,0.455,0.461,0.539,0.37,0.497,-0.092,0.46,0.478
label10,0.461,0.462,0.481,0.442,0.471,-0.078,0.446,0.459
label11,0.468,0.468,0.468,0.468,0.468,-0.065,0.468,0.47
label12,0.471,0.468,0.422,0.519,0.444,-0.059,0.439,0.451
label13,0.451,0.452,0.461,0.442,0.457,-0.097,0.412,0.45
label14,0.545,0.545,0.545,0.545,0.545,0.091,0.563,0.558
label15,0.503,0.503,0.487,0.519,0.495,0.006,0.488,0.484
label16,0.458,0.461,0.5,0.416,0.48,-0.085,0.462,0.477
label17,0.487,0.489,0.591,0.383,0.535,-0.027,0.497,0.546
label18,0.49,0.492,0.578,0.403,0.531,-0.02,0.451,0.451
label19,0.497,0.497,0.487,0.506,0.492,-0.006,0.507,0.517
label20,0.442,0.44,0.429,0.455,0.434,-0.117,0.437,0.483
label21,0.516,0.517,0.5,0.532,0.508,0.032,0.519,0.554
label22,0.545,0.547,0.526,0.565,0.536,0.091,0.539,0.557
label23,0.526,0.527,0.506,0.545,0.517,0.052,0.534,0.496
label24,0.448,0.456,0.539,0.357,0.494,-0.106,0.457,0.485
label25,0.49,0.491,0.513,0.468,0.502,-0.02,0.472,0.489
label26,0.461,0.459,0.435,0.487,0.447,-0.078,0.469,0.485
label27,0.503,0.504,0.435,0.571,0.467,0.007,0.49,0.481
label28,0.51,0.509,0.539,0.481,0.524,0.02,0.537,0.511
label29,0.442,0.438,0.416,0.468,0.427,-0.117,0.45,0.47
label30,0.474,0.469,0.396,0.552,0.43,-0.053,0.495,0.508
label31,0.552,0.542,0.669,0.435,0.599,0.107,0.555,0.507
label32,0.471,0.472,0.5,0.442,0.486,-0.059,0.447,0.457
label33,0.51,0.508,0.617,0.403,0.557,0.02,0.488,0.478
label34,0.49,0.491,0.513,0.468,0.502,-0.02,0.494,0.505
label35,0.468,0.471,0.519,0.416,0.494,-0.065,0.503,0.513
label36,0.438,0.444,0.494,0.383,0.468,-0.124,0.43,0.449
label37,0.429,0.431,0.448,0.409,0.439,-0.143,0.415,0.448
label38,0.49,0.49,0.487,0.494,0.489,-0.019,0.494,0.472
label39,0.532,0.532,0.545,0.519,0.538,0.065,0.523,0.515
label40,0.432,0.433,0.442,0.422,0.437,-0.136,0.432,0.451
label41,0.558,0.548,0.662,0.455,0.6,0.119,0.583,0.556
label42,0.503,0.503,0.513,0.494,0.508,0.006,0.507,0.495
label43,0.503,0.503,0.5,0.506,0.502,0.006,0.496,0.473
label44,0.51,0.51,0.487,0.532,0.498,0.02,0.478,0.476
label45,0.484,0.482,0.429,0.539,0.454,-0.033,0.479,0.481
label46,0.494,0.493,0.448,0.539,0.469,-0.013,0.509,0.512
label47,0.494,0.493,0.461,0.526,0.477,-0.013,0.517,0.559
label48,0.464,0.465,0.468,0.461,0.466,-0.071,0.436,0.439
label49,0.448,0.441,0.39,0.506,0.414,-0.105,0.44,0.485
label50,0.477,0.476,0.442,0.513,0.458,-0.046,0.501,0.532
label51,0.532,0.53,0.565,0.5,0.547,0.065,0.533,0.527
label52,0.425,0.429,0.448,0.403,0.438,-0.15,0.417,0.468
label53,0.503,0.503,0.578,0.429,0.538,0.007,0.483,0.497
label54,0.451,0.45,0.435,0.468,0.442,-0.097,0.431,0.467
label55,0.442,0.435,0.39,0.494,0.411,-0.118,0.419,0.451
label56,0.526,0.528,0.487,0.565,0.507,0.052,0.497,0.494
label57,0.484,0.483,0.461,0.506,0.472,-0.033,0.482,0.487
label58,0.396,0.397,0.403,0.39,0.4,-0.208,0.354,0.406
label59,0.503,0.503,0.474,0.532,0.488,0.007,0.499,0.513
label60,0.5,0.5,0.494,0.506,0.497,0,0.5,0.495
label61,0.484,0.485,0.526,0.442,0.505,-0.033,0.436,0.464
label62,0.513,0.514,0.494,0.532,0.503,0.026,0.518,0.55
label63,0.529,0.529,0.526,0.532,0.528,0.058,0.558,0.565
label64,0.536,0.543,0.455,0.617,0.495,0.072,0.494,0.524
label65,0.578,0.582,0.552,0.604,0.567,0.156,0.567,0.582
label66,0.506,0.506,0.591,0.422,0.545,0.013,0.485,0.481
label67,0.484,0.484,0.494,0.474,0.489,-0.032,0.453,0.477
label68,0.51,0.51,0.5,0.519,0.505,0.019,0.509,0.488
label69,0.461,0.462,0.468,0.455,0.465,-0.078,0.448,0.501
label70,0.539,0.538,0.545,0.532,0.542,0.078,0.504,0.492
label71,0.468,0.468,0.481,0.455,0.474,-0.065,0.489,0.507
label72,0.435,0.429,0.39,0.481,0.408,-0.13,0.427,0.46
label73,0.461,0.462,0.468,0.455,0.465,-0.078,0.416,0.442
label74,0.497,0.497,0.558,0.435,0.526,-0.007,0.472,0.456
label75,0.513,0.512,0.532,0.494,0.522,0.026,0.504,0.498
label76,0.519,0.522,0.461,0.578,0.49,0.039,0.519,0.492
label77,0.526,0.535,0.396,0.656,0.455,0.054,0.531,0.557
label78,0.494,0.494,0.539,0.448,0.516,-0.013,0.516,0.53
label79,0.425,0.439,0.539,0.312,0.484,-0.153,0.437,0.465
label80,0.481,0.482,0.532,0.429,0.506,-0.039,0.463,0.455
label81,0.516,0.519,0.455,0.578,0.484,0.033,0.522,0.527
label82,0.438,0.432,0.39,0.487,0.41,-0.124,0.412,0.45
label83,0.539,0.54,0.526,0.552,0.533,0.078,0.548,0.526
label84,0.445,0.444,0.435,0.455,0.439,-0.11,0.428,0.459
label85,0.451,0.454,0.481,0.422,0.467,-0.098,0.434,0.457
label86,0.435,0.43,0.396,0.474,0.412,-0.13,0.42,0.451
label87,0.455,0.452,0.429,0.481,0.44,-0.091,0.421,0.438
label88,0.516,0.516,0.519,0.513,0.518,0.032,0.552,0.553
label89,0.435,0.44,0.481,0.39,0.46,-0.13,0.401,0.454
label90,0.542,0.541,0.558,0.526,0.55,0.084,0.533,0.502
label91,0.575,0.578,0.552,0.597,0.565,0.15,0.593,0.565
label92,0.438,0.443,0.481,0.396,0.461,-0.124,0.423,0.438
label93,0.523,0.52,0.584,0.461,0.55,0.046,0.542,0.515
label94,0.497,0.497,0.552,0.442,0.523,-0.007,0.478,0.461
label95,0.451,0.445,0.396,0.506,0.419,-0.098,0.466,0.479
label96,0.477,0.478,0.5,0.455,0.489,-0.046,0.457,0.455
label97,0.474,0.474,0.481,0.468,0.477,-0.052,0.477,0.5
label98,0.445,0.448,0.481,0.409,0.464,-0.111,0.424,0.425
label99,0.51,0.51,0.487,0.532,0.498,0.02,0.503,0.491
label100,0.562,0.558,0.591,0.532,0.574,0.124,0.515,0.492
label101,0.516,0.517,0.487,0.545,0.502,0.033,0.503,0.502
label102,0.487,0.487,0.481,0.494,0.484,-0.026,0.49,0.49
label103,0.516,0.517,0.5,0.532,0.508,0.032,0.522,0.522
label104,0.474,0.474,0.481,0.468,0.477,-0.052,0.471,0.461
label105,0.458,0.456,0.442,0.474,0.449,-0.084,0.431,0.462
label106,0.549,0.55,0.539,0.558,0.544,0.097,0.571,0.552
label107,0.448,0.45,0.468,0.429,0.459,-0.104,0.444,0.46
label108,0.503,0.503,0.578,0.429,0.538,0.007,0.499,0.494
label109,0.51,0.512,0.416,0.604,0.459,0.02,0.504,0.534
label110,0.448,0.452,0.487,0.409,0.469,-0.104,0.407,0.427
label111,0.442,0.429,0.351,0.532,0.386,-0.119,0.433,0.448
label112,0.607,0.606,0.61,0.604,0.608,0.214,0.592,0.55
label113,0.461,0.458,0.429,0.494,0.443,-0.078,0.466,0.457
label114,0.51,0.508,0.584,0.435,0.544,0.02,0.529,0.509
label115,0.487,0.487,0.494,0.481,0.49,-0.026,0.469,0.467
label116,0.506,0.507,0.461,0.552,0.483,0.013,0.491,0.476
label117,0.461,0.463,0.494,0.429,0.478,-0.078,0.45,0.445
label118,0.542,0.538,0.604,0.481,0.569,0.085,0.557,0.531
label119,0.529,0.525,0.61,0.448,0.565,0.059,0.543,0.537
label120,0.536,0.535,0.539,0.532,0.537,0.071,0.576,0.581
label121,0.494,0.493,0.487,0.5,0.49,-0.013,0.47,0.494
label122,0.477,0.477,0.461,0.494,0.469,-0.045,0.475,0.483
label123,0.513,0.514,0.494,0.532,0.503,0.026,0.517,0.514
label124,0.484,0.485,0.539,0.429,0.511,-0.033,0.453,0.445
label125,0.519,0.516,0.623,0.416,0.565,0.04,0.484,0.468
label126,0.464,0.453,0.344,0.584,0.391,-0.074,0.463,0.481
label127,0.506,0.506,0.539,0.474,0.522,0.013,0.533,0.505
label128,0.513,0.514,0.468,0.558,0.49,0.026,0.525,0.534
label129,0.471,0.472,0.5,0.442,0.486,-0.059,0.474,0.501
label130,0.497,0.497,0.578,0.416,0.535,-0.007,0.479,0.469
label131,0.49,0.49,0.487,0.494,0.489,-0.019,0.481,0.505
label132,0.468,0.468,0.474,0.461,0.471,-0.065,0.473,0.461
label133,0.477,0.478,0.494,0.461,0.486,-0.045,0.493,0.489
label134,0.461,0.456,0.403,0.519,0.428,-0.078,0.45,0.486
label135,0.503,0.503,0.481,0.526,0.492,0.007,0.533,0.548
label136,0.49,0.491,0.519,0.461,0.505,-0.02,0.481,0.473
label137,0.49,0.49,0.5,0.481,0.495,-0.019,0.493,0.493
label138,0.519,0.52,0.513,0.526,0.516,0.039,0.498,0.529
label139,0.555,0.571,0.442,0.669,0.498,0.113,0.561,0.579
label140,0.503,0.504,0.409,0.597,0.452,0.007,0.469,0.494
label141,0.442,0.444,0.468,0.416,0.456,-0.117,0.379,0.405
label142,0.519,0.52,0.5,0.539,0.51,0.039,0.508,0.541
label143,0.519,0.516,0.61,0.429,0.56,0.04,0.514,0.504
label144,0.494,0.493,0.442,0.545,0.466,-0.013,0.464,0.488
label145,0.536,0.533,0.578,0.494,0.555,0.072,0.542,0.526
label146,0.497,0.496,0.39,0.604,0.436,-0.007,0.465,0.533
label147,0.396,0.392,0.377,0.416,0.384,-0.208,0.37,0.433
label148,0.484,0.485,0.519,0.448,0.502,-0.033,0.473,0.482
label149,0.523,0.523,0.526,0.519,0.524,0.045,0.526,0.505
label150,0.542,0.536,0.63,0.455,0.579,0.086,0.553,0.546
label151,0.438,0.435,0.416,0.461,0.425,-0.124,0.423,0.445
label152,0.464,0.46,0.409,0.519,0.433,-0.072,0.454,0.499
label153,0.516,0.517,0.506,0.526,0.511,0.032,0.505,0.533
label154,0.497,0.497,0.565,0.429,0.529,-0.007,0.525,0.533
