label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
label,0.844,0.84,0.851,0.838,0.845,0.688,0.912,0.921
label0,0.481,0.482,0.513,0.448,0.497,-0.039,0.454,0.496
label1,0.516,0.514,0.584,0.448,0.547,0.033,0.516,0.491
label2,0.435,0.439,0.468,0.403,0.453,-0.13,0.422,0.456
label3,0.542,0.537,0.61,0.474,0.571,0.085,0.53,0.492
label4,0.481,0.485,0.623,0.338,0.545,-0.041,0.467,0.469
label5,0.519,0.517,0.597,0.442,0.554,0.039,0.498,0.492
label6,0.565,0.562,0.584,0.545,0.573,0.13,0.552,0.53
label7,0.516,0.516,0.513,0.519,0.515,0.032,0.51,0.536
label8,0.396,0.382,0.338,0.455,0.359,-0.209,0.362,0.414
label9,0.487,0.49,0.656,0.318,0.561,-0.028,0.445,0.452
label10,0.429,0.44,0.526,0.331,0.479,-0.146,0.412,0.443
label11,0.51,0.509,0.571,0.448,0.538,0.02,0.501,0.496
label12,0.5,0.5,0.383,0.617,0.434,0,0.47,0.476
label13,0.38,0.369,0.338,0.422,0.353,-0.241,0.367,0.434
label14,0.523,0.523,0.513,0.532,0.518,0.045,0.531,0.54
label15,0.497,0.495,0.357,0.636,0.415,-0.007,0.479,0.494
label16,0.497,0.497,0.506,0.487,0.502,-0.006,0.488,0.511
label17,0.494,0.494,0.494,0.494,0.494,-0.013,0.48,0.505
label18,0.477,0.484,0.688,0.266,0.568,-0.05,0.47,0.469
label19,0.468,0.473,0.565,0.37,0.515,-0.066,0.458,0.48
label20,0.458,0.454,0.416,0.5,0.434,-0.085,0.429,0.446
label21,0.549,0.56,0.455,0.643,0.502,0.099,0.532,0.545
label22,0.516,0.52,0.422,0.61,0.466,0.033,0.5,0.525
label23,0.545,0.556,0.448,0.643,0.496,0.093,0.536,0.513
label24,0.455,0.465,0.61,0.299,0.528,-0.096,0.443,0.474
label25,0.506,0.507,0.455,0.558,0.479,0.013,0.486,0.495
label26,0.419,0.421,0.435,0.403,0.428,-0.162,0.436,0.47
label27,0.477,0.463,0.286,0.669,0.353,-0.049,0.488,0.516
label28,0.523,0.521,0.565,0.481,0.542,0.046,0.555,0.513
label29,0.497,0.496,0.422,0.571,0.456,-0.007,0.482,0.47
label30,0.506,0.511,0.292,0.721,0.372,0.014,0.48,0.532
