label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
label,0.94,0.958,0.92,0.96,0.939,0.881,0.947,0.955
label0,0.64,0.667,0.56,0.72,0.609,0.284,0.738,0.707
label1,0.48,0.478,0.44,0.52,0.458,-0.04,0.495,0.567
label2,0.52,0.522,0.48,0.56,0.5,0.04,0.466,0.551
label3,0.42,0.417,0.4,0.44,0.408,-0.16,0.363,0.478
label4,0.44,0.429,0.36,0.52,0.391,-0.122,0.41,0.472
label5,0.64,0.64,0.64,0.64,0.64,0.28,0.584,0.641
label6,0.46,0.45,0.36,0.56,0.4,-0.082,0.488,0.544
label7,0.46,0.464,0.52,0.4,0.491,-0.081,0.507,0.646
label8,0.5,0.5,0.44,0.56,0.468,0,0.482,0.54
label9,0.54,0.542,0.52,0.56,0.531,0.08,0.555,0.629
label10,0.56,0.565,0.52,0.6,0.542,0.12,0.672,0.641
label11,0.68,0.68,0.68,0.68,0.68,0.36,0.602,0.667
label12,0.48,0.481,0.52,0.44,0.5,-0.04,0.403,0.492
label13,0.5,0.5,0.36,0.64,0.419,0,0.523,0.537
label14,0.56,0.579,0.44,0.68,0.5,0.124,0.582,0.634
label15,0.58,0.583,0.56,0.6,0.571,0.16,0.497,0.608
label16,0.54,0.545,0.48,0.6,0.511,0.081,0.53,0.641
label17,0.6,0.593,0.64,0.56,0.615,0.201,0.626,0.681
label18,0.42,0.423,0.44,0.4,0.431,-0.16,0.426,0.505
label19,0.52,0.517,0.6,0.44,0.556,0.041,0.539,0.637
label20,0.46,0.462,0.48,0.44,0.471,-0.08,0.418,0.52
label21,0.36,0.37,0.4,0.32,0.385,-0.281,0.31,0.46
label22,0.44,0.435,0.4,0.48,0.417,-0.12,0.372,0.482
label23,0.42,0.4,0.32,0.52,0.356,-0.163,0.426,0.504
label24,0.52,0.52,0.52,0.52,0.52,0.04,0.507,0.633
label25,0.48,0.476,0.4,0.56,0.435,-0.041,0.493,0.583
label26,0.4,0.4,0.4,0.4,0.4,-0.2,0.422,0.539
label27,0.62,0.607,0.68,0.56,0.642,0.242,0.617,0.692
label28,0.4,0.4,0.4,0.4,0.4,-0.2,0.376,0.482
label29,0.5,0.5,0.44,0.56,0.468,0,0.49,0.548
label30,0.46,0.455,0.4,0.52,0.426,-0.081,0.486,0.556
label31,0.4,0.391,0.36,0.44,0.375,-0.201,0.45,0.535
label32,0.52,0.522,0.48,0.56,0.5,0.04,0.595,0.632
label33,0.4,0.391,0.36,0.44,0.375,-0.201,0.426,0.526
label34,0.44,0.44,0.44,0.44,0.44,-0.12,0.408,0.508
label35,0.48,0.48,0.48,0.48,0.48,-0.04,0.394,0.521
label36,0.4,0.4,0.4,0.4,0.4,-0.2,0.454,0.555
label37,0.48,0.48,0.48,0.48,0.48,-0.04,0.451,0.526
label38,0.6,0.609,0.56,0.64,0.583,0.201,0.597,0.646
label39,0.42,0.417,0.4,0.44,0.408,-0.16,0.324,0.499
label40,0.56,0.56,0.56,0.56,0.56,0.12,0.542,0.667
label41,0.42,0.417,0.4,0.44,0.408,-0.16,0.431,0.538
label42,0.42,0.423,0.44,0.4,0.431,-0.16,0.394,0.504
label43,0.48,0.476,0.4,0.56,0.435,-0.041,0.554,0.598
label44,0.38,0.364,0.32,0.44,0.34,-0.242,0.347,0.474
label45,0.52,0.519,0.56,0.48,0.538,0.04,0.529,0.609
label46,0.42,0.423,0.44,0.4,0.431,-0.16,0.424,0.571
label47,0.48,0.481,0.52,0.44,0.5,-0.04,0.48,0.616
label48,0.52,0.52,0.52,0.52,0.52,0.04,0.494,0.596
label49,0.44,0.429,0.36,0.52,0.391,-0.122,0.45,0.545
label50,0.56,0.556,0.6,0.52,0.577,0.12,0.517,0.594
label51,0.52,0.522,0.48,0.56,0.5,0.04,0.538,0.558
label52,0.38,0.364,0.32,0.44,0.34,-0.242,0.317,0.432
label53,0.44,0.429,0.36,0.52,0.391,-0.122,0.374,0.511
label54,0.64,0.64,0.64,0.64,0.64,0.28,0.693,0.742
label55,0.66,0.682,0.6,0.72,0.638,0.322,0.683,0.698
label56,0.62,0.625,0.6,0.64,0.612,0.24,0.728,0.747
label57,0.46,0.458,0.44,0.48,0.449,-0.08,0.475,0.563
label58,0.42,0.429,0.48,0.36,0.453,-0.161,0.439,0.562
label59,0.42,0.409,0.36,0.48,0.383,-0.161,0.422,0.512
label60,0.42,0.4,0.32,0.52,0.356,-0.163,0.314,0.473
label61,0.46,0.464,0.52,0.4,0.491,-0.081,0.418,0.529
label62,0.48,0.48,0.48,0.48,0.48,-0.04,0.585,0.637
label63,0.56,0.56,0.56,0.56,0.56,0.12,0.516,0.593
label64,0.44,0.435,0.4,0.48,0.417,-0.12,0.442,0.521
label65,0.5,0.5,0.4,0.6,0.444,0,0.515,0.594
label66,0.38,0.385,0.4,0.36,0.392,-0.24,0.311,0.46
label67,0.56,0.556,0.6,0.52,0.577,0.12,0.546,0.621
label68,0.38,0.393,0.44,0.32,0.415,-0.242,0.342,0.484
label69,0.6,0.586,0.68,0.52,0.63,0.203,0.597,0.683
label70,0.5,0.5,0.32,0.68,0.39,0,0.605,0.574
label71,0.5,0.5,0.36,0.64,0.419,0,0.605,0.59
label72,0.5,0.5,0.48,0.52,0.49,0,0.44,0.582
label73,0.54,0.536,0.6,0.48,0.566,0.081,0.542,0.63
label74,0.52,0.522,0.48,0.56,0.5,0.04,0.539,0.62
label75,0.34,0.346,0.36,0.32,0.353,-0.32,0.33,0.483
label76,0.36,0.36,0.36,0.36,0.36,-0.28,0.318,0.475
label77,0.44,0.444,0.48,0.4,0.462,-0.12,0.401,0.523
label78,0.46,0.462,0.48,0.44,0.471,-0.08,0.426,0.558
label79,0.42,0.409,0.36,0.48,0.383,-0.161,0.526,0.564
label80,0.36,0.37,0.4,0.32,0.385,-0.281,0.352,0.515
label81,0.42,0.409,0.36,0.48,0.383,-0.161,0.476,0.488
label82,0.52,0.52,0.52,0.52,0.52,0.04,0.547,0.591
label83,0.44,0.444,0.48,0.4,0.462,-0.12,0.438,0.556
label84,0.68,0.667,0.72,0.64,0.692,0.361,0.593,0.684
label85,0.54,0.542,0.52,0.56,0.531,0.08,0.526,0.611
label86,0.36,0.316,0.24,0.48,0.273,-0.288,0.366,0.479
label87,0.56,0.556,0.6,0.52,0.577,0.12,0.517,0.603
label88,0.44,0.444,0.48,0.4,0.462,-0.12,0.436,0.561
label89,0.62,0.615,0.64,0.6,0.627,0.24,0.685,0.689
label90,0.68,0.765,0.52,0.84,0.619,0.38,0.552,0.667
label91,0.5,0.5,0.36,0.64,0.419,0,0.429,0.545
label92,0.48,0.478,0.44,0.52,0.458,-0.04,0.475,0.567
label93,0.42,0.423,0.44,0.4,0.431,-0.16,0.39,0.553
label94,0.6,0.609,0.56,0.64,0.583,0.201,0.582,0.637
label95,0.56,0.571,0.48,0.64,0.522,0.122,0.56,0.622
label96,0.42,0.409,0.36,0.48,0.383,-0.161,0.317,0.452
label97,0.44,0.44,0.44,0.44,0.44,-0.12,0.43,0.531
label98,0.52,0.524,0.44,0.6,0.478,0.041,0.47,0.525
label99,0.56,0.556,0.6,0.52,0.577,0.12,0.538,0.579
label100,0.56,0.565,0.52,0.6,0.542,0.12,0.602,0.658
label101,0.6,0.586,0.68,0.52,0.63,0.203,0.61,0.663
label102,0.5,0.5,0.44,0.56,0.468,0,0.543,0.592
label103,0.36,0.36,0.36,0.36,0.36,-0.28,0.302,0.447
label104,0.44,0.448,0.52,0.36,0.481,-0.122,0.445,0.551
label105,0.4,0.4,0.4,0.4,0.4,-0.2,0.393,0.501
label106,0.58,0.571,0.64,0.52,0.604,0.161,0.502,0.594
label107,0.36,0.36,0.36,0.36,0.36,-0.28,0.293,0.422
label108,0.48,0.478,0.44,0.52,0.458,-0.04,0.483,0.558
label109,0.6,0.619,0.52,0.68,0.565,0.203,0.522,0.634
label110,0.6,0.609,0.56,0.64,0.583,0.201,0.632,0.646
label111,0.76,0.81,0.68,0.84,0.739,0.527,0.841,0.836
label112,0.4,0.407,0.44,0.36,0.423,-0.201,0.381,0.553
label113,0.6,0.593,0.64,0.56,0.615,0.201,0.574,0.669
label114,0.48,0.483,0.56,0.4,0.519,-0.041,0.486,0.592
label115,0.48,0.48,0.48,0.48,0.48,-0.04,0.523,0.595
label116,0.46,0.455,0.4,0.52,0.426,-0.081,0.448,0.545
label117,0.56,0.56,0.56,0.56,0.56,0.12,0.575,0.632
label118,0.32,0.304,0.28,0.36,0.292,-0.361,0.243,0.355
label119,0.58,0.571,0.64,0.52,0.604,0.161,0.604,0.666
label120,0.44,0.412,0.28,0.6,0.333,-0.127,0.495,0.572
label121,0.56,0.565,0.52,0.6,0.542,0.12,0.54,0.618
label122,0.46,0.45,0.36,0.56,0.4,-0.082,0.413,0.551
label123,0.58,0.571,0.64,0.52,0.604,0.161,0.568,0.634
label124,0.46,0.462,0.48,0.44,0.471,-0.08,0.387,0.516
label125,0.5,0.5,0.36,0.64,0.419,0,0.531,0.622
label126,0.6,0.6,0.6,0.6,0.6,0.2,0.627,0.647
label127,0.58,0.625,0.4,0.76,0.488,0.171,0.427,0.549
label128,0.46,0.464,0.52,0.4,0.491,-0.081,0.43,0.527
label129,0.5,0.5,0.48,0.52,0.49,0,0.486,0.559
label130,0.52,0.517,0.6,0.44,0.556,0.041,0.55,0.626
label131,0.54,0.536,0.6,0.48,0.566,0.081,0.577,0.678
label132,0.42,0.389,0.28,0.56,0.326,-0.167,0.499,0.501
label133,0.5,0.5,0.64,0.36,0.561,0,0.522,0.561
label134,0.52,0.52,0.52,0.52,0.52,0.04,0.522,0.628
label135,0.54,0.538,0.56,0.52,0.549,0.08,0.517,0.59
label136,0.54,0.556,0.4,0.68,0.465,0.083,0.626,0.655
label137,0.68,0.737,0.56,0.8,0.636,0.371,0.586,0.664
label138,0.36,0.37,0.4,0.32,0.385,-0.281,0.266,0.398
label139,0.36,0.36,0.36,0.36,0.36,-0.28,0.265,0.414
label140,0.46,0.444,0.32,0.6,0.372,-0.083,0.662,0.651
label141,0.38,0.35,0.28,0.48,0.311,-0.245,0.421,0.483
label142,0.54,0.542,0.52,0.56,0.531,0.08,0.466,0.562
label143,0.5,0.5,0.52,0.48,0.51,0,0.427,0.519
label144,0.34,0.346,0.36,0.32,0.353,-0.32,0.33,0.45
label145,0.54,0.536,0.6,0.48,0.566,0.081,0.555,0.614
label146,0.32,0.286,0.24,0.4,0.261,-0.365,0.253,0.394
label147,0.52,0.524,0.44,0.6,0.478,0.041,0.414,0.529
label148,0.54,0.542,0.52,0.56,0.531,0.08,0.566,0.606
label149,0.54,0.538,0.56,0.52,0.549,0.08,0.594,0.614
label150,0.38,0.393,0.44,0.32,0.415,-0.242,0.405,0.539
label151,0.44,0.444,0.48,0.4,0.462,-0.12,0.413,0.512
label152,0.44,0.44,0.44,0.44,0.44,-0.12,0.45,0.535
label153,0.5,0.5,0.48,0.52,0.49,0,0.504,0.581
label154,0.62,0.615,0.64,0.6,0.627,0.24,0.642,0.669
label155,0.4,0.391,0.36,0.44,0.375,-0.201,0.449,0.512
