label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
label,0.88,0.952,0.8,0.96,0.87,0.77,0.931,0.955
label0,0.6,0.609,0.56,0.64,0.583,0.201,0.645,0.588
label1,0.54,0.538,0.56,0.52,0.549,0.08,0.509,0.502
label2,0.34,0.367,0.44,0.24,0.4,-0.327,0.371,0.428
label3,0.38,0.385,0.4,0.36,0.392,-0.24,0.28,0.366
label4,0.46,0.462,0.48,0.44,0.471,-0.08,0.461,0.434
label5,0.66,0.7,0.56,0.76,0.622,0.327,0.646,0.573
label6,0.54,0.542,0.52,0.56,0.531,0.08,0.558,0.49
label7,0.56,0.56,0.56,0.56,0.56,0.12,0.534,0.478
label8,0.48,0.483,0.56,0.4,0.519,-0.041,0.434,0.541
label9,0.58,0.571,0.64,0.52,0.604,0.161,0.504,0.471
label10,0.64,0.64,0.64,0.64,0.64,0.28,0.632,0.608
label11,0.66,0.654,0.68,0.64,0.667,0.32,0.686,0.691
label12,0.44,0.448,0.52,0.36,0.481,-0.122,0.386,0.406
label13,0.48,0.478,0.44,0.52,0.458,-0.04,0.506,0.586
label14,0.52,0.52,0.52,0.52,0.52,0.04,0.538,0.539
label15,0.52,0.52,0.52,0.52,0.52,0.04,0.53,0.516
label16,0.48,0.478,0.44,0.52,0.458,-0.04,0.472,0.565
label17,0.48,0.483,0.56,0.4,0.519,-0.041,0.523,0.605
label18,0.44,0.44,0.44,0.44,0.44,-0.12,0.453,0.501
label19,0.44,0.429,0.36,0.52,0.391,-0.122,0.488,0.545
label20,0.46,0.455,0.4,0.52,0.426,-0.081,0.475,0.489
label21,0.18,0.192,0.2,0.16,0.196,-0.641,0.12,0.323
label22,0.56,0.556,0.6,0.52,0.577,0.12,0.454,0.446
label23,0.56,0.56,0.56,0.56,0.56,0.12,0.506,0.465
label24,0.4,0.407,0.44,0.36,0.423,-0.201,0.357,0.403
label25,0.44,0.44,0.44,0.44,0.44,-0.12,0.475,0.479
label26,0.46,0.462,0.48,0.44,0.471,-0.08,0.374,0.402
label27,0.54,0.542,0.52,0.56,0.531,0.08,0.526,0.499
label28,0.36,0.387,0.48,0.24,0.429,-0.288,0.333,0.402
label29,0.52,0.519,0.56,0.48,0.538,0.04,0.506,0.509
label30,0.48,0.481,0.52,0.44,0.5,-0.04,0.474,0.575
label31,0.4,0.4,0.4,0.4,0.4,-0.2,0.342,0.446
label32,0.54,0.545,0.48,0.6,0.511,0.081,0.534,0.488
label33,0.52,0.519,0.56,0.48,0.538,0.04,0.534,0.472
label34,0.32,0.286,0.24,0.4,0.261,-0.365,0.298,0.373
label35,0.46,0.458,0.44,0.48,0.449,-0.08,0.443,0.491
label36,0.54,0.536,0.6,0.48,0.566,0.081,0.594,0.668
label37,0.38,0.406,0.52,0.24,0.456,-0.25,0.422,0.459
label38,0.64,0.63,0.68,0.6,0.654,0.281,0.587,0.54
label39,0.36,0.294,0.2,0.52,0.238,-0.296,0.317,0.415
label40,0.68,0.68,0.68,0.68,0.68,0.36,0.718,0.68
label41,0.38,0.375,0.36,0.4,0.367,-0.24,0.334,0.426
label42,0.5,0.5,0.48,0.52,0.49,0,0.512,0.495
label43,0.5,0.5,0.4,0.6,0.444,0,0.411,0.446
label44,0.5,0.5,0.4,0.6,0.444,0,0.397,0.424
label45,0.38,0.385,0.4,0.36,0.392,-0.24,0.406,0.495
label46,0.56,0.56,0.56,0.56,0.56,0.12,0.491,0.495
label47,0.48,0.476,0.4,0.56,0.435,-0.041,0.413,0.464
label48,0.56,0.571,0.48,0.64,0.522,0.122,0.608,0.583
label49,0.44,0.444,0.48,0.4,0.462,-0.12,0.398,0.42
label50,0.4,0.419,0.52,0.28,0.464,-0.206,0.402,0.443
label51,0.62,0.636,0.56,0.68,0.596,0.242,0.674,0.616
label52,0.4,0.407,0.44,0.36,0.423,-0.201,0.36,0.392
label53,0.44,0.44,0.44,0.44,0.44,-0.12,0.398,0.475
label54,0.52,0.522,0.48,0.56,0.5,0.04,0.48,0.501
label55,0.62,0.615,0.64,0.6,0.627,0.24,0.659,0.595
label56,0.48,0.484,0.6,0.36,0.536,-0.041,0.493,0.562
label57,0.62,0.615,0.64,0.6,0.627,0.24,0.584,0.527
label58,0.46,0.462,0.48,0.44,0.471,-0.08,0.398,0.411
label59,0.4,0.4,0.4,0.4,0.4,-0.2,0.381,0.458
label60,0.46,0.444,0.32,0.6,0.372,-0.083,0.416,0.429
label61,0.46,0.455,0.4,0.52,0.426,-0.081,0.326,0.387
label62,0.4,0.4,0.4,0.4,0.4,-0.2,0.413,0.418
label63,0.54,0.545,0.48,0.6,0.511,0.081,0.411,0.437
label64,0.48,0.481,0.52,0.44,0.5,-0.04,0.427,0.43
label65,0.5,0.5,0.52,0.48,0.51,0,0.435,0.495
label66,0.48,0.481,0.52,0.44,0.5,-0.04,0.405,0.44
label67,0.6,0.593,0.64,0.56,0.615,0.201,0.598,0.586
label68,0.68,0.68,0.68,0.68,0.68,0.36,0.685,0.647
label69,0.6,0.6,0.6,0.6,0.6,0.2,0.658,0.702
label70,0.44,0.448,0.52,0.36,0.481,-0.122,0.325,0.382
