label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
label,0.84,1,0.68,1,0.81,0.718,0.97,0.977
label0,0.68,0.68,0.68,0.68,0.68,0.36,0.656,0.67
label1,0.62,0.688,0.44,0.8,0.537,0.257,0.446,0.545
label2,0.46,0.477,0.84,0.08,0.609,-0.123,0.4,0.41
label3,0,0,0,0,0,-1,0,0.307
label4,0.56,0.6,0.36,0.76,0.45,0.131,0.426,0.485
label5,0.62,0.583,0.84,0.4,0.689,0.267,0.482,0.447
label6,0.6,0.571,0.8,0.4,0.667,0.218,0.502,0.514
label7,0.44,0.429,0.36,0.52,0.391,-0.122,0.406,0.452
label8,0.16,0.226,0.28,0.04,0.25,-0.7,0.04,0.315
label9,0.3,0.083,0.04,0.56,0.054,-0.468,0.2,0.377
label10,0.14,0.05,0.04,0.24,0.044,-0.735,0.066,0.349
label11,0.6,0.576,0.76,0.44,0.655,0.211,0.6,0.561
label12,0.34,0.405,0.68,0,0.507,-0.436,0.013,0.307
label13,0.46,0.4,0.16,0.76,0.229,-0.1,0.419,0.473
label14,0.14,0.125,0.12,0.16,0.122,-0.721,0.082,0.351
label15,0.66,0.75,0.48,0.84,0.585,0.343,0.494,0.561
label16,0.04,0.04,0.04,0.04,0.04,-0.92,0.051,0.315
label17,0.44,0.444,0.48,0.4,0.462,-0.12,0.347,0.403
label18,0.54,0.528,0.76,0.32,0.623,0.089,0.374,0.403
label19,0.56,0.6,0.36,0.76,0.45,0.131,0.514,0.518
label20,0.58,0.559,0.76,0.4,0.644,0.171,0.349,0.391
label21,0,0,0,0,0,-1,0,0.307
label22,0.36,0.333,0.28,0.44,0.304,-0.284,0.205,0.352
label23,0.18,0.25,0.32,0.04,0.281,-0.667,0.155,0.333
label24,0.18,0.233,0.28,0.08,0.255,-0.653,0.112,0.329
label25,0.1,0.143,0.16,0.04,0.151,-0.806,0.04,0.315
label26,0,0,0,0,0,-1,0,0.307
label27,0.62,0.714,0.4,0.84,0.513,0.267,0.534,0.612
label28,0.1,0,0,0.2,0,-0.816,0.034,0.309
label29,0.56,0.6,0.36,0.76,0.45,0.131,0.341,0.444
label30,0.36,0.37,0.4,0.32,0.385,-0.281,0.293,0.4
label31,0.3,0.273,0.24,0.36,0.255,-0.403,0.238,0.371
label32,0.22,0.182,0.16,0.28,0.17,-0.564,0.219,0.383
label33,0.66,0.611,0.88,0.44,0.721,0.356,0.584,0.559
label34,0.38,0.25,0.12,0.64,0.162,-0.281,0.214,0.383
label35,0.06,0.107,0.12,0,0.113,-0.886,0.003,0.307
label36,0.02,0,0,0.04,0,-0.961,0.003,0.307
label37,0.24,0.158,0.12,0.36,0.136,-0.536,0.152,0.331
label38,0.48,0.476,0.4,0.56,0.435,-0.041,0.416,0.443
label39,0.24,0.29,0.36,0.12,0.321,-0.536,0.123,0.328
label40,0.62,0.688,0.44,0.8,0.537,0.257,0.493,0.498
label41,0.06,0.077,0.08,0.04,0.078,-0.881,0.04,0.315
label42,0,0,0,0,0,-1,0,0.307
label43,0.22,0.111,0.08,0.36,0.093,-0.583,0.086,0.352
