transID,eng
NONMMUT072143.2,-878.2
NONMMUT061183.2,-668.9
NONMMUT061184.2,-535.4
NONMMUT061185.2,-323.5
NONMMUT061187.2,-328.9
NONMMUT061188.2,-240.2
NONMMUT061189.2,-892.1
NONMMUT061190.2,-875.9
NONMMUT061191.2,-187.2
NONMMUT061192.2,-237.8
NONMMUT061193.2,-228.8
NONMMUT126788.1,-1279.94
NONMMUT151651.1,-291.5
NONMMUT151652.1,-191.1
NONMMUT151653.1,-129.9
NONMMUT015071.2,-414.7
NONMMUT014847.2,-338.3
NONMMUT088690.1,-338.3
NONMMUT036331.2,-558.8
NONMMUT036332.2,-152.2
NONMMUT036333.2,-1338.8
NONMMUT036334.2,-319
NONMMUT036335.2,-119.4
NONMMUT146228.1,-2508.55
NONMMUT031045.2,-143.8
NONMMUT102685.1,-142.9
NONMMUT029017.2,-457.6
NONMMUT029018.2,-255.9
NONMMUT101970.1,-602.2
NONMMUT040680.2,-264.1
NONMMUT040681.2,-210
NONMMUT040682.2,-214.8
NONMMUT011703.2,-198.7
NONMMUT085710.1,-466.8
NONMMUT058325.2,-543
NONMMUT058326.2,-188
NONMMUT058328.2,-149.7
NONMMUT058329.2,-444.6
NONMMUT058330.2,-209.7
NONMMUT058331.2,-143.5
NONMMUT058332.2,-745.1
NONMMUT058334.2,-887.2
NONMMUT124255.1,-766.4
NONMMUT048345.2,-128.8
NONMMUT048346.2,-223.9
NONMMUT048348.2,-438.3
NONMMUT048349.2,-85.3
NONMMUT048350.2,-777
NONMMUT048351.2,-102.4
NONMMUT048352.2,-142.3
NONMMUT056463.2,-377
NONMMUT015036.2,-1234
NONMMUT041268.2,-363.6
NONMMUT041269.2,-339.5
NONMMUT041270.2,-134.7
NONMMUT041271.2,-367.9
NONMMUT108330.1,-787.5
NONMMUT060487.2,-431.6
NONMMUT011654.2,-195.7
NONMMUT085697.1,-53.3
NONMMUT085698.1,-262.7
NONMMUT029353.2,-65.4
NONMMUT029354.2,-539.5
NONMMUT029355.2,-308.3
NONMMUT029356.2,-320.7
NONMMUT029357.2,-320.4
NONMMUT029358.2,-169.8
NONMMUT029359.2,-299.2
NONMMUT029360.2,-188.2
NONMMUT029361.2,-230.2
NONMMUT029362.2,-176.3
NONMMUT029363.2,-265.4
NONMMUT029364.2,-241.9
NONMMUT029365.2,-394.7
NONMMUT029366.2,-221.4
NONMMUT029369.2,-228.6
NONMMUT029371.2,-157.6
NONMMUT029372.2,-334.5
NONMMUT029373.2,-277.5
NONMMUT029374.2,-289.3
NONMMUT029376.2,-191.6
NONMMUT029377.2,-239
NONMMUT016944.2,-816.4
NONMMUT016945.2,-118
NONMMUT016946.2,-237.5
NONMMUT016947.2,-155.5
NONMMUT089489.1,-117.4
NONMMUT038477.2,-409.5
NONMMUT041319.2,-1141.4
NONMMUT110158.1,-908.8
NONMMUT147215.1,-1020.9
NONMMUT147216.1,-933.8
NONMMUT147217.1,-2265
NONMMUT147218.1,-2812.7
NONMMUT025892.2,-175.8
NONMMUT025893.2,-558
NONMMUT025894.2,-1108.2
NONMMUT025895.2,-1134.9
NONMMUT025896.2,-455
NONMMUT025897.2,-161.5
NONMMUT025898.2,-434.2
NONMMUT025899.2,-1016
NONMMUT025900.2,-987.5
NONMMUT025901.2,-1042.8
NONMMUT025902.2,-987.5
NONMMUT025905.2,-327.5
NONMMUT025906.2,-336.3
NONMMUT025908.2,-128.1
NONMMUT098119.1,-320.7
NONMMUT098120.1,-365.2
NONMMUT098121.1,-1158.1
NONMMUT144287.1,-216.6
NONMMUT144288.1,-208.4
NONMMUT041529.2,-576.6
NONMMUT041530.2,-177.7
NONMMUT041531.2,-233.8
NONMMUT041532.2,-305.6
NONMMUT041533.2,-189.3
NONMMUT041534.2,-428.8
NONMMUT041535.2,-261.4
NONMMUT041536.2,-394.5
NONMMUT041537.2,-230.4
NONMMUT041538.2,-294.7
NONMMUT041539.2,-317.5
NONMMUT041540.2,-148.6
NONMMUT041541.2,-1165.23
NONMMUT041543.2,-204.1
NONMMUT041544.2,-379.43
NONMMUT108497.1,-1140.3
NONMMUT108498.1,-3188.3
NONMMUT043899.2,-644.2
NONMMUT043900.2,-361.4
NONMMUT043901.2,-262.4
NONMMUT043902.2,-1031.4
NONMMUT043905.2,-629.6
NONMMUT043907.2,-2047.8
NONMMUT043909.2,-917.9
NONMMUT043910.2,-869.5
NONMMUT113588.1,-160.6
NONMMUT113589.1,-445.4
NONMMUT113590.1,-278.2
NONMMUT113591.1,-189.4
NONMMUT034098.2,-209.9
NONMMUT034099.2,-146.8
NONMMUT034101.2,-100
NONMMUT034102.2,-151.5
NONMMUT034103.2,-206.7
NONMMUT034104.2,-283.8
NONMMUT105227.1,-273.4
NONMMUT105228.1,-439.5
NONMMUT105230.1,-370.4
NONMMUT105231.1,-114.4
NONMMUT105232.1,-47.3
NONMMUT105233.1,-632
NONMMUT011177.2,-146.5
NONMMUT011178.2,-173.9
NONMMUT011179.2,-212.9
NONMMUT011180.2,-192.4
NONMMUT011181.2,-658.4
NONMMUT011182.2,-1349.8
NONMMUT011183.2,-401.4
NONMMUT084069.1,-261.5
NONMMUT034576.2,-314.1
NONMMUT034577.2,-639
NONMMUT034578.2,-503.1
NONMMUT034579.2,-553
NONMMUT034580.2,-514.2
NONMMUT034582.2,-302.2
