0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,label
NEAT1,0.062993,0.117028,1.256904,0.910549,0.190223,-0.179168,0.011917,0.119070,-0.297204,0.459205,-1.397829,0.472631,-0.121598,0.082246,0.958701,-0.034927,-0.410990,0.499650,0.783619,0.205758,-0.246241,0.005272,-1.412200,0.057040,0.286363,1.132910,-0.079950,0.956569,0.010298,0.571908,-0.861768,0.536276,1
SNHG1,0.648047,-0.235676,1.108340,0.073628,0.010434,-0.696293,0.631243,0.331815,-0.313548,0.213180,-0.316385,0.577073,0.323623,-0.083065,0.603677,0.142860,-0.032095,-0.101232,-0.206759,0.441218,0.123225,-0.634536,-0.231973,-0.379447,0.328952,0.636559,-0.032045,0.111651,0.237046,-0.331915,-0.538286,0.209305,1
GAS5,0.512653,-0.065912,1.005205,-0.054378,-0.060342,-0.726747,0.218205,0.350044,-0.270307,0.112477,-0.519168,0.815704,0.472239,0.078025,0.584808,0.254117,-0.227498,-0.155786,-0.188015,0.544885,0.121999,-0.324035,-0.408276,-0.169987,0.557878,0.320581,-0.032149,0.140100,0.068554,-0.187113,-0.577152,0.008035,1
SNHG5,0.503186,-0.171335,0.988099,-0.150336,-0.079903,-0.724574,0.082887,0.509674,-0.418702,0.032182,-0.521185,0.649851,0.391763,0.119200,0.543261,0.038977,-0.166696,-0.283763,-0.187551,0.334935,0.164701,-0.381424,-0.270884,0.017218,0.384568,0.365521,0.013800,0.322177,0.065582,-0.243804,-0.296513,-0.168446,1
TUG1,0.785431,-0.291512,1.072881,-0.001812,-0.187905,-0.547553,0.431554,0.450373,-0.423287,0.133272,-0.292977,0.442640,0.246263,-0.042991,0.551987,0.074640,0.147745,-0.259014,-0.262680,0.378930,0.178003,-0.468416,-0.227672,-0.082628,0.337986,0.606218,0.129169,0.369855,0.172959,-0.344285,-0.306494,-0.072069,1
XIST,0.755780,-0.342188,1.122903,0.109362,-0.257343,-0.564980,0.529502,0.526592,-0.348515,0.057847,-0.374420,0.426212,0.371637,-0.120106,0.622126,0.178435,0.156063,-0.116841,-0.137542,0.558316,0.153269,-0.456926,-0.303267,-0.072638,0.327405,0.420601,0.166238,0.327623,0.054731,-0.334902,-0.344538,0.008392,1
NONHSAG013514,0.728915,-0.185130,0.989825,-0.141193,-0.241794,-0.408554,0.444521,0.343410,-0.458390,0.030404,-0.260584,0.490329,0.125063,-0.075732,0.479369,0.136163,0.200577,-0.201858,-0.305221,0.257114,0.283673,-0.464804,-0.073577,-0.076065,0.101582,0.718672,0.056344,0.376496,0.253272,-0.252030,-0.167458,-0.135311,1
RMRP,0.724370,-0.072880,1.055919,-0.138842,-0.284125,-0.400577,0.447157,0.283968,-0.356750,-0.072973,-0.309632,0.528012,0.134112,0.003593,0.432294,0.227203,0.149997,-0.122623,-0.193342,0.366403,0.328103,-0.431201,-0.096848,-0.051350,0.140674,0.708894,0.150120,0.408122,0.218876,-0.356412,-0.058319,-0.085215,1
JPX,0.662661,-0.145779,0.947550,-0.208619,-0.318252,-0.476583,0.350762,0.440712,-0.352764,0.067473,-0.289746,0.443022,0.123673,-0.058589,0.441622,0.093693,0.168590,-0.199498,-0.317580,0.336523,0.351326,-0.461094,-0.069419,0.016739,0.054665,0.711189,0.023362,0.397913,0.312002,-0.236300,-0.107820,-0.098064,1
LINC00657,0.476365,-0.244642,0.775769,-0.072001,-0.218117,-0.134438,0.140689,0.222836,-0.402321,-0.197250,-0.497937,0.416597,0.241067,0.111279,0.448136,-0.056587,-0.318849,-0.232368,-0.427726,0.216202,-0.116210,-0.415907,-0.289748,0.096555,0.200577,0.284679,0.254690,0.366923,0.425639,-0.266433,-0.307378,0.011170,1
SOX2-OT,0.375767,-0.071190,0.982795,-0.233702,-0.296658,-0.602165,0.217653,0.264932,-0.455795,0.025759,-0.466613,0.769794,0.192479,0.099530,0.304144,0.225241,-0.035928,-0.207041,-0.260913,0.255979,0.114888,-0.325146,0.011214,-0.130273,0.084891,0.589290,0.222445,0.497661,0.072401,-0.511258,0.063206,-0.102369,1
AC084018.1,0.671153,-0.124978,1.010251,-0.253724,-0.231271,-0.405525,0.388658,0.244258,-0.378160,-0.054596,-0.228141,0.527695,0.088570,-0.004164,0.472420,0.124329,0.155805,-0.146641,-0.257534,0.209075,0.398629,-0.330900,-0.103697,-0.068022,0.053405,0.888240,0.065730,0.354346,0.249144,-0.322428,0.092131,-0.014622,1
MCM3AP-AS1,0.574480,-0.042635,0.967792,-0.092722,-0.257998,-0.559839,0.384267,0.171612,-0.237482,0.273300,-0.094853,0.640061,0.210856,0.036196,0.513340,0.260072,0.069028,-0.175779,-0.285942,0.353133,0.329187,-0.465036,-0.183486,-0.225099,0.123214,0.873733,0.037035,0.078575,0.339910,-0.290259,-0.441876,0.138382,1
SNHG6,0.414138,-0.154226,1.124008,-0.115099,-0.125296,-0.807063,-0.043726,0.471076,-0.387893,0.117456,-0.460592,0.663960,0.369090,0.178733,0.586583,0.201416,-0.144034,-0.146849,-0.169439,0.324922,0.219180,-0.366681,-0.314962,-0.037138,0.654188,0.414940,0.040472,0.249417,-0.051000,-0.241918,-0.217845,-0.109794,1
ZFAS1,0.451974,-0.183019,0.802741,-0.127876,-0.265498,-0.146393,0.086001,0.173617,-0.338517,-0.274156,-0.445134,0.427565,0.166290,0.110050,0.438745,0.053436,-0.354151,-0.152515,-0.467033,0.219035,-0.045037,-0.426944,-0.195175,0.120372,0.175296,0.390062,0.209919,0.392616,0.452203,-0.258889,-0.272037,0.003412,1
KCNQ1OT1,-0.074908,-0.268474,0.980589,-0.377299,-0.156680,-0.368984,-0.030000,-0.339033,-0.340351,0.090340,-0.449574,0.091254,-0.031685,0.294250,0.407139,-0.053872,-0.876170,-0.016286,-0.475520,0.220627,-0.130838,-0.304296,-1.158152,-0.409777,0.170804,0.848906,0.495753,-0.033362,0.345953,0.236705,-0.429802,0.830253,1
LINC00511,-0.009559,-0.032891,0.857728,0.381691,-0.116844,-0.042291,-0.066445,0.356941,-0.455909,0.275957,-1.205385,0.090801,0.048414,0.312437,0.268954,-0.691372,-0.361653,0.037059,0.051400,0.261566,-0.303226,-0.610847,-0.804593,0.055647,0.256442,0.779298,-0.058630,0.596593,0.333340,-0.325441,-0.106030,0.019737,1
LINC00338,0.401803,-0.238510,0.783620,-0.132688,-0.244836,-0.157807,0.051774,0.149974,-0.344964,-0.276687,-0.444438,0.378176,0.094453,0.137881,0.401349,0.046300,-0.313736,-0.155159,-0.519169,0.157515,-0.123026,-0.421234,-0.257957,0.115841,0.149367,0.465308,0.224708,0.318473,0.403650,-0.263331,-0.176070,0.018191,1
DANCR,0.321690,-0.128823,0.986695,0.155081,-0.206183,-0.068910,-0.132117,0.334307,-0.488592,0.035852,-0.684047,0.045165,0.148459,0.096047,0.566153,-0.295195,-0.325999,0.058195,-0.319847,0.291027,-0.207854,-0.536205,-0.412003,0.142892,0.194712,0.622313,-0.043693,0.382889,0.507957,-0.100031,-0.392803,-0.064124,1
SNHG15,0.366428,-0.103944,1.162847,0.337577,-0.192925,-0.076487,0.083496,0.474857,-0.279467,0.462066,-1.114330,0.208948,0.050142,-0.063652,0.897633,0.286480,-0.052919,0.290856,-0.037053,-0.420479,-0.528797,-0.070594,-0.237938,-0.116850,-0.186623,0.806320,-0.198794,1.144614,0.565977,0.117038,-0.497718,0.309163,1
LINC00472,0.549435,0.381582,0.512038,-0.264536,-0.237013,-0.716160,0.447384,-0.089914,0.011109,0.207379,-0.796786,1.546285,0.150543,0.016393,0.469482,-0.012192,-0.181200,-0.385754,-0.231486,0.471117,0.154258,-0.944901,-0.344613,-0.547365,0.388801,0.654096,-0.013345,0.343888,-0.368424,-0.189675,-1.025331,0.155038,1
