0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,label
Gas5,0.259584,0.504566,-0.049037,-0.281145,-0.280849,0.180636,0.139440,0.158727,0.046674,0.095865,0.139425,-0.147750,-0.091569,-0.042533,0.184556,-0.339224,-0.066014,0.075563,-0.172360,0.175389,0.158574,-0.185176,-0.049415,-0.133874,-0.109699,0.062497,0.369228,-0.102657,-0.010181,0.211593,0.096392,0.060141,0.050579,-0.294459,0.328687,0.081280,-0.249526,0.047219,-0.076002,-0.290574,0.395991,0.307953,0.084847,0.098685,0.116373,-0.105888,-0.426002,0.071702,-0.183811,-0.171204,-0.112340,-0.015269,0.174113,-0.159438,-0.009100,-0.068563,-0.150976,-0.262286,0.668605,-0.197163,-0.361656,-0.197111,0.306966,-0.202151,-0.274888,-0.239413,0.300438,0.147068,0.211201,0.048107,-0.092479,0.087460,-0.265783,0.187901,-0.226284,-0.387094,-0.209816,-0.387952,0.056257,-0.042307,-0.459524,-0.389848,0.163124,-0.186982,-0.067768,0.241152,-0.120862,0.042280,0.656744,-0.017082,-0.122232,-0.035729,-0.134385,-0.147315,0.024924,0.117120,0.441956,-0.132015,-0.407422,0.090706,-0.233869,0.817866,-0.157891,0.018331,0.263241,0.093952,-0.070650,0.133574,-0.601255,-0.209200,0.119822,0.076100,0.191732,-0.183876,-0.161928,0.419120,0.044116,0.207245,-0.242228,0.355399,0.040754,-0.252584,0.148582,-0.149230,-0.262418,0.172395,0.764664,0.225219,1
Xist,0.450472,0.796255,0.137186,0.194964,0.159682,-0.039394,0.258379,-0.184878,-0.086617,-0.515535,-0.393408,0.031616,-0.221929,-0.192341,0.070727,-0.759656,0.337529,0.035925,-0.112399,-0.265184,-0.241793,-0.349583,-0.000593,-0.189377,0.091665,-0.351645,0.080359,-0.057687,-0.002293,-0.017403,0.492426,0.034765,-0.056169,-0.174852,0.340403,-0.079844,0.051907,0.365191,-0.327648,-0.079878,0.116880,0.379801,0.100766,0.117577,0.075637,0.109130,-0.223289,0.279182,-0.265112,0.055279,-0.122931,0.070902,-0.101697,-0.387839,0.137489,0.066703,-0.533492,-0.060824,0.547720,-0.227891,-0.566504,-0.224434,-0.205850,0.032693,-0.402804,0.355903,0.112027,-0.309947,0.309171,0.431175,-0.203557,0.267111,-0.416392,0.072938,-0.147347,-0.495976,0.064101,-0.080464,0.021340,0.045484,-0.258512,-0.171785,0.236678,0.422667,-0.126476,0.202609,0.411517,0.313356,-0.013804,-0.566111,-0.538842,0.112388,-0.172951,-0.191040,-0.010457,-0.200093,0.311847,-0.352212,-0.702854,0.096897,-0.116709,0.489628,-0.236005,0.464869,0.364258,0.065014,-0.276179,0.608786,-0.527727,-0.204787,-0.071275,-0.028550,-0.013381,-0.253437,0.085511,0.458783,-0.217263,-0.186962,-0.118682,0.195497,0.072543,-0.496883,-0.012482,-0.105540,-0.533537,0.090607,0.728345,0.250537,1
Meg3,0.383409,0.565043,-0.084272,-0.030979,-0.319940,0.323568,0.125039,0.306198,-0.099543,0.200608,0.059718,-0.215348,-0.155138,0.131274,0.183042,-0.308624,-0.131228,0.076984,-0.243535,0.212990,0.161902,-0.352111,-0.013844,-0.016934,-0.121089,-0.182089,0.275804,0.031777,0.114201,0.040209,0.154469,-0.009284,0.022898,-0.345986,0.201078,0.070711,-0.318721,-0.004677,-0.083715,-0.117890,0.340029,0.382000,0.145638,-0.033156,0.095728,-0.242845,-0.542295,-0.040540,-0.262018,-0.175557,-0.151291,0.008516,0.217128,-0.172466,0.026749,-0.026578,-0.100601,-0.260412,0.430227,-0.178034,-0.515237,-0.158233,0.050473,-0.268609,-0.232660,-0.347220,0.180249,0.070462,0.251345,0.307585,-0.156947,-0.169186,-0.196361,0.160536,-0.254014,-0.349026,-0.217615,-0.417565,-0.029964,-0.004177,-0.381428,-0.403400,0.426409,-0.168556,0.081948,0.113895,-0.162652,0.174771,0.465030,-0.043545,-0.214332,-0.177339,0.010793,-0.274758,0.041745,0.117232,0.366347,-0.050543,-0.243901,0.059562,-0.177766,0.895460,-0.266243,0.167803,0.271425,0.071840,-0.089354,0.216999,-0.618311,-0.219536,0.241767,0.119216,0.153519,-0.082485,-0.246292,0.371757,-0.091557,0.083886,-0.118285,0.229057,0.025281,-0.114083,0.115098,-0.131530,-0.282606,0.172762,0.885712,0.166915,1
Airn,0.138924,0.357821,-0.067431,0.030140,0.083754,-0.057096,-0.116172,0.092441,0.195567,-0.218747,-0.182897,0.024856,-0.324829,-0.055011,0.306124,-0.433702,0.181101,-0.074259,-0.288837,-0.053924,0.077036,-0.276893,-0.042383,-0.169652,-0.073103,-0.069834,0.139559,0.215457,-0.019990,-0.056995,0.123764,-0.200604,-0.055167,0.171387,0.185323,0.106243,-0.001700,-0.062374,-0.032585,-0.013844,0.208349,0.144695,-0.006172,0.047172,-0.082181,-0.054183,-0.314273,-0.040444,0.052540,0.069344,-0.026097,-0.070492,-0.124419,-0.151527,0.121474,0.179898,-0.125008,-0.176266,0.053301,-0.095777,-0.030304,-0.357129,0.170742,-0.087882,-0.307439,-0.167283,0.396895,0.065491,0.109736,0.043457,-0.187215,0.187133,-0.133208,0.270447,-0.219166,-0.374397,-0.298473,-0.089144,0.059614,0.082252,-0.228050,-0.367821,0.011006,-0.007724,-0.021817,0.045239,0.091646,-0.228937,0.177016,-0.146329,-0.085321,0.055583,-0.012361,-0.083734,0.142524,-0.082886,0.091496,-0.147892,-0.380224,-0.080229,-0.062083,0.819301,0.030481,-0.042435,0.399828,0.192337,0.157845,0.520368,-0.270325,-0.309867,-0.195810,0.177948,0.056215,-0.351716,0.131596,0.693397,-0.218361,-0.020263,-0.212508,0.080003,-0.092020,-0.508364,0.409245,-0.369615,-0.265037,0.127138,0.568443,0.440327,1
Tsix,0.286243,0.303312,0.010559,0.015472,-0.010486,-0.040592,-0.170624,0.200358,-0.012542,-0.208798,-0.314402,0.019507,-0.338220,-0.012323,0.368049,-0.449574,0.104528,-0.032679,-0.248281,-0.066053,0.046180,-0.148139,-0.135689,-0.206991,0.023386,-0.187246,0.151689,0.171101,0.000403,0.002042,0.134675,-0.053157,0.005395,0.102308,0.204627,0.157918,0.126415,0.031219,0.014035,-0.017981,0.167807,0.149977,0.028040,0.057425,-0.053292,-0.078199,-0.312532,0.019490,0.075756,0.012430,-0.141779,-0.042373,0.046067,-0.257734,-0.056514,0.148846,-0.221844,-0.073237,0.133428,-0.187541,-0.123141,-0.261306,0.111574,-0.176632,-0.374924,-0.163732,0.355843,0.056904,0.088170,0.033760,-0.049130,0.066195,-0.098403,0.206228,-0.327129,-0.351392,-0.328952,-0.215115,0.026923,0.159597,-0.048130,-0.361119,-0.066754,0.063047,-0.067325,0.037854,0.222371,-0.108334,0.065261,-0.016629,-0.097471,-0.125670,-0.100454,-0.107134,0.037189,0.041273,0.011253,-0.170099,-0.437026,-0.036478,-0.107273,0.851203,-0.016550,0.066278,0.344779,0.215397,0.276465,0.630546,-0.426064,-0.195115,-0.102351,0.101377,0.067665,-0.414721,0.244035,0.664900,-0.239472,-0.162272,-0.198352,0.085698,-0.012720,-0.491159,0.311156,-0.390482,-0.157633,-0.019393,0.609457,0.404476,1
Neat1,0.288758,0.082820,-0.037631,0.041682,0.039506,-0.033503,0.017674,-0.084625,0.113054,-0.213845,-0.170425,0.050542,-0.084902,-0.153814,0.411814,-0.566001,0.024133,-0.096946,-0.095928,-0.039765,-0.073935,-0.069958,0.021824,-0.195357,-0.017842,-0.143998,-0.015370,0.191316,-0.013049,-0.063729,-0.022000,-0.200048,0.028882,0.130196,0.089047,0.071032,0.132566,-0.207614,-0.111767,-0.098933,0.100014,0.083012,0.041436,0.007040,-0.107983,0.174243,-0.165598,-0.050970,0.089160,0.203096,-0.009175,0.028568,-0.077833,-0.120170,0.156409,0.124285,-0.144455,-0.100975,0.127475,-0.206551,-0.125696,-0.140631,0.088085,-0.066538,-0.260462,-0.174105,0.469420,0.012335,0.050370,0.007859,-0.104092,0.099102,-0.094312,0.240739,-0.172313,-0.384810,-0.328227,-0.255258,-0.024685,0.029429,-0.177456,-0.440087,-0.046905,0.020034,-0.032893,0.143729,0.176248,-0.250252,0.218021,-0.135440,-0.164354,0.005269,-0.022568,-0.232360,0.125482,-0.131823,0.260613,-0.124220,-0.650961,-0.104830,-0.146918,0.784939,-0.011540,0.202750,0.358984,0.110857,0.039865,0.536399,-0.143494,-0.049117,-0.183419,0.147559,0.134266,-0.508752,0.052533,0.926861,-0.334922,-0.330240,-0.242265,-0.030140,-0.013510,-0.623007,0.510244,-0.326021,-0.459726,0.106144,0.588409,0.609185,1
Kcnq1ot1,0.413525,0.495791,0.329057,0.066077,0.077511,0.387961,0.044856,0.260591,-0.187599,-0.082304,-0.465294,0.079589,-0.531732,0.118533,0.032466,-0.644045,-0.054865,0.421409,-0.041412,-0.062861,0.033882,0.130713,-0.132453,-0.326696,-0.199665,-0.397151,-0.049162,0.079532,-0.018977,0.167435,0.151870,0.160258,0.186263,0.216758,0.118037,-0.096681,-0.014697,0.296633,0.007383,0.054730,0.179008,0.415206,0.083188,0.116644,0.064704,0.258876,0.168881,-0.329741,0.086470,0.097995,-0.271991,-0.115730,-0.269826,-0.558601,0.098614,-0.092613,-0.094770,-0.192843,0.076844,-0.061390,-0.061419,-0.369134,-0.276183,0.036272,-0.103261,0.381382,-0.103797,0.046366,-0.141061,0.356331,-0.060956,0.280982,-0.108269,-0.063177,-0.233928,-0.134352,-0.096248,-0.043364,0.168913,0.077189,-0.039502,-0.150886,0.070433,-0.128580,-0.532076,0.039914,0.141136,-0.141257,-0.069846,-0.143369,0.088708,-0.063882,-0.024000,-0.213944,0.068782,0.100932,-0.203671,-0.373112,-0.317335,-0.135285,-0.097989,0.318344,0.163068,0.019370,0.684943,0.234582,0.290001,0.169896,-0.128644,-0.263352,-0.414637,-0.076254,0.104573,-0.142025,-0.031438,0.489919,0.035264,-0.420559,-0.171775,0.305468,0.160405,-0.107865,-0.048845,-0.155686,-0.332443,-0.077797,0.119802,-0.206708,1
Gm12609,0.218886,0.241833,0.011129,0.006423,0.093686,-0.163562,-0.077495,0.064627,0.005583,-0.178348,-0.162921,0.082980,-0.339252,-0.093239,0.354556,-0.449832,0.214814,-0.040770,-0.309202,-0.085335,-0.032109,-0.188824,0.013161,-0.168992,-0.104489,0.029012,0.097384,0.167939,-0.059168,-0.243141,0.081722,-0.226645,-0.143605,0.094427,0.159038,0.158389,0.099983,-0.169849,-0.147513,-0.125326,0.049823,0.341235,-0.047168,0.145316,0.054210,-0.122299,-0.239005,-0.091102,-0.027671,0.074354,-0.083872,-0.171571,-0.032747,-0.043518,0.167371,0.158404,-0.186862,-0.069657,0.032259,-0.060587,-0.081965,-0.252958,0.054317,-0.092387,-0.356977,-0.208758,0.369724,0.005071,0.040023,-0.155976,-0.090903,0.077706,-0.162688,0.284435,-0.134782,-0.186747,-0.445399,-0.266568,0.082901,-0.005807,-0.163101,-0.356301,-0.175365,-0.024368,0.237971,0.102569,0.055503,-0.261290,0.244054,-0.222518,-0.139581,0.134482,0.034345,-0.099849,0.238534,0.055115,0.043298,-0.069766,-0.336100,-0.108682,-0.122167,0.741299,0.010754,0.000813,0.367901,0.014513,0.259491,0.489988,-0.230009,-0.346166,-0.079020,0.221366,0.220723,-0.417986,0.138120,0.815751,-0.143433,-0.014239,-0.103622,-0.015210,-0.010240,-0.607656,0.501642,-0.377863,-0.085439,0.124889,0.631403,0.453872,1
9030622O22Rik,0.167958,0.232974,0.075640,-0.014214,0.135507,-0.053224,-0.146257,0.177318,0.136590,-0.168790,-0.388769,-0.106500,-0.281637,-0.051469,0.425410,-0.297042,0.112639,-0.011054,-0.282076,-0.125308,0.143479,-0.242837,0.017252,-0.110593,-0.236914,-0.080837,0.227014,0.242804,-0.062139,-0.163783,0.147407,-0.249585,-0.191184,0.100845,0.113239,0.111354,0.104579,-0.203889,0.023121,-0.090339,0.126077,0.373238,0.031717,0.117479,0.125721,0.014462,-0.269953,-0.117180,-0.157319,0.049468,-0.138009,-0.151726,-0.186982,0.007062,0.031006,0.052751,-0.105856,0.026685,-0.042428,-0.070293,-0.082331,-0.391492,0.127386,0.001419,-0.282566,-0.140365,0.391756,0.081311,-0.000247,-0.038294,-0.042581,0.000397,-0.261000,0.258920,-0.160979,-0.103172,-0.418347,-0.214398,0.152946,-0.005285,-0.264437,-0.295511,-0.084728,-0.104816,0.168597,0.039373,0.016866,-0.209790,0.247932,-0.142537,-0.166573,0.076083,0.034966,-0.121244,0.094894,-0.119723,-0.080299,0.040294,-0.369076,-0.178166,-0.100076,0.741761,0.114458,-0.005694,0.439603,0.068301,0.235963,0.559056,-0.292103,-0.129750,-0.110135,0.199225,0.121885,-0.305290,0.087154,0.710214,-0.069295,0.181000,-0.132033,0.068409,0.039694,-0.587355,0.349135,-0.449988,-0.178053,0.209748,0.676902,0.356100,1
1810026B05Rik,0.039161,0.300148,-0.012232,-0.180659,-0.034190,0.170763,-0.124418,0.249296,0.114630,0.127229,-0.221625,-0.003245,-0.448228,-0.040703,0.042183,-0.162010,-0.171653,0.382112,-0.205075,0.042042,-0.279341,-0.032198,0.121362,-0.243774,-0.057197,-0.075003,0.085678,-0.025731,-0.061299,0.073895,0.116175,-0.038940,0.085465,0.124728,-0.150201,0.169173,-0.214762,0.162972,-0.019645,-0.026849,0.092628,0.068284,-0.068744,0.161432,-0.061060,-0.078748,-0.227121,-0.044675,-0.349437,-0.070821,-0.199064,-0.168960,-0.046462,0.160011,-0.008834,-0.043164,0.032003,0.079284,0.262716,0.015891,0.060171,-0.135003,-0.218432,-0.060737,-0.067484,0.023734,-0.051505,-0.121608,-0.044534,0.034744,-0.058154,-0.031502,-0.244023,-0.021178,0.098132,-0.244128,-0.206936,0.025660,0.041448,-0.222574,-0.133711,-0.052295,-0.255932,0.088151,0.162672,0.062292,-0.079134,-0.151283,0.213524,0.020480,0.089602,-0.121799,0.034430,-0.038774,0.010009,-0.036817,0.057723,0.054041,0.068364,0.068362,-0.054574,0.261841,0.038169,-0.181630,0.019001,0.323491,-0.062629,0.194793,-0.190446,-0.269769,0.086463,-0.087575,0.124633,-0.058449,-0.154193,0.193352,0.033008,0.040674,0.051470,0.192015,-0.222344,-0.191294,0.207846,-0.018848,-0.068166,0.031627,0.317987,-0.007384,1
