lncRNA,score,rank
NONMMUG033079,0.990465284,1
NONMMUG018618,0.960988329,2
NONMMUG021608,0.944778374,3
Xist,0.936784728,4
NONMMUG016889,0.933652299,5
Gm17110,0.93248033,6
NONMMUG015781,0.927160628,7
Gm10849,0.927121663,8
Gm20402,0.926497911,9
Gm9988,0.922616133,10
NONMMUG042723,0.913715356,11
Gm9806,0.913452194,12
NONMMUG006090,0.912582621,13
NONMMUG016749,0.911756089,14
NONMMUG044043,0.911702418,15
NONMMUG018329,0.911171991,16
AY036118,0.908801042,17
Gm17092,0.908243319,18
NONMMUG039251,0.906993753,19
Gm15525,0.905150203,20
NONMMUG006214,0.902327072,21
1700010K24Rik,0.891799051,22
Gm14205,0.890264944,23
NONMMUG012982,0.888771484,24
Gm12523,0.887110247,25
NONMMUG005244,0.883406234,26
NONMMUG027298,0.882333953,27
Scarna2,0.882189534,28
NONMMUG003444,0.879403329,29
NONMMUG032560,0.877088712,30
NONMMUG025036,0.876884755,31
NONMMUG010001,0.876242928,32
NONMMUG015421,0.874323398,33
NONMMUG033962,0.873754321,34
NONMMUG003005,0.873535694,35
NONMMUG020644,0.87352813,36
NONMMUG016885,0.873170596,37
Gm13063,0.872088396,38
NONMMUG000737,0.869988555,39
NONMMUG037260,0.869682653,40
NONMMUG003362,0.86794162,41
RP23-81C12.1,0.864060752,42
AL732590.1,0.86268194,43
NONMMUG015682,0.859242349,44
NONMMUG018449,0.858536806,45
RPI002_013093,0.858207076,46
NONMMUG016716,0.858090197,47
NONMMUG011435,0.857700088,48
NONMMUG045864,0.856594389,49
NONMMUG042384,0.855533462,50
NONMMUG023737,0.854671685,51
NONMMUG041736,0.854596584,52
NONMMUG006615,0.854464371,53
NONMMUG009019,0.853460622,54
NONMMUG007804,0.853298532,55
RPI002_013780,0.851985944,56
RPI002_014090,0.851841804,57
RPI002_011379,0.851215851,58
NONMMUG018155,0.850846972,59
NONMMUG028965,0.847625511,60
NONMMUG014376,0.843808639,61
NONMMUG014769,0.842874336,62
NONMMUG035666,0.842316661,63
NONMMUG002714,0.84146896,64
NONMMUG020348,0.838780281,65
NONMMUG041905,0.837552719,66
NONMMUG007645,0.837169911,67
NONMMUG032976,0.836689861,68
NONMMUG035060,0.836102719,69
NONMMUG026569,0.828559214,70
NONMMUG030988,0.82827164,71
NONMMUG006134,0.82410639,72
NONMMUG015229,0.821878215,73
NONMMUG015170,0.821220613,74
NONMMUG023156,0.81473702,75
NONMMUG003706,0.813601481,76
NONMMUG021629,0.809544241,77
NONMMUG018602,0.809452387,78
NONMMUG044545,0.808323947,79
RPI002_012500,0.80825586,80
NONMMUG036385,0.807611902,81
NONMMUG029194,0.806252837,82
Gm16551,0.805909642,83
NONMMUG016977,0.804612735,84
AC147048.1,0.804576409,85
NONMMUG042609,0.803311771,86
NONMMUG020055,0.802661944,87
Gm11647,0.801834836,88
NONMMUG040935,0.800803737,89
NONMMUG019302,0.800312825,90
Gm15222,0.799796535,91
NONMMUG041147,0.797627889,92
NONMMUG038557,0.796900065,93
NONMMUG020076,0.796600856,94
NONMMUG008610,0.796479477,95
Gm13171,0.795635316,96
NONMMUG010623,0.795318867,97
NONMMUG028184,0.795011181,98
NONMMUG010003,0.792955083,99
NONMMUG034479,0.792003117,100
NONMMUG002642,0.791658149,101
NONMMUG039246,0.791587438,102
NONMMUG013210,0.791285137,103
NONMMUG027328,0.79032732,104
NONMMUG015515,0.78928205,105
NONMMUG026007,0.787492526,106
2810410L24Rik,0.786529941,107
NONMMUG042604,0.785976827,108
Gm9939,0.785518133,109
NONMMUG037806,0.785239626,110
NONMMUG021532,0.783266056,111
NONMMUG040411,0.782849337,112
NONMMUG042740,0.781283498,113
Gm12957,0.780588312,114
NONMMUG037771,0.780429065,115
NONMMUG012823,0.779600015,116
NONMMUG003555,0.778904074,117
NONMMUG000026,0.778059492,118
NONMMUG035641,0.777425063,119
NONMMUG034126,0.775436604,120
B330016D10Rik,0.7737175,121
RPI002_012330,0.771722724,122
NONMMUG032136,0.771695913,123
NONMMUG017804,0.770563898,124
NONMMUG015035,0.768774589,125
NONMMUG019841,0.768707306,126
NONMMUG036403,0.768475231,127
NONMMUG009948,0.768301697,128
RPI002_013322,0.768276861,129
NONMMUG020985,0.766833819,130
RPI002_012022,0.766691056,131
NONMMUG000387,0.766364621,132
NONMMUG008259,0.766156148,133
4732444A12Rik,0.765467674,134
NONMMUG003073,0.762957763,135
NONMMUG043674,0.762519215,136
NONMMUG018845,0.760995563,137
NONMMUG039470,0.760593653,138
NONMMUG013316,0.760494738,139
NONMMUG018910,0.760430068,140
NONMMUG037131,0.760428406,141
NONMMUG006239,0.759197221,142
