0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,label
Gas5,-0.404439,-0.017227,-0.431618,-0.320567,0.252964,0.251701,0.045858,-0.280577,0.185116,-0.096208,0.407296,-0.303512,-0.388976,-0.795135,-0.191715,-0.393727,-0.502890,1.132407,0.588194,0.700498,-0.127582,0.571573,-0.377765,-0.405861,0.631657,-0.003095,0.230409,0.764385,-0.091401,0.747315,0.307682,0.390491,1
Xist,0.761885,0.689150,-0.534397,0.181292,-0.260453,0.394989,-0.206246,0.316469,0.093099,0.129513,0.046041,0.463359,-0.690343,-0.498313,-0.032627,-0.013177,-0.412107,1.605592,0.947205,0.105915,-0.149926,1.040991,-0.358983,-0.007406,1.101735,0.307673,0.038380,0.872953,-0.099196,0.456484,-0.088722,-0.375589,1
Meg3,-0.234552,0.057654,-0.255651,-0.494246,0.247436,0.073912,-0.252942,-0.071730,0.304757,-0.267472,0.339202,-0.359044,-0.514268,-0.844680,0.037498,-0.598221,-0.701769,1.036470,0.508971,0.642559,-0.187050,0.519541,-0.648007,-0.615791,0.761283,0.223777,-0.006218,0.769421,-0.216570,0.775147,0.266623,0.089784,1
Airn,-0.398246,-0.090184,0.378287,0.072273,0.308824,0.193684,-0.033075,0.201251,-0.000041,-0.446629,0.409392,0.246615,-0.451324,-0.288610,-0.005995,-0.095013,0.014001,1.035364,0.767020,0.318547,0.268765,0.883493,-0.155543,0.459013,1.193188,0.029269,-0.055999,0.549093,-0.113208,0.406101,0.106309,0.207530,1
Tsix,-0.288436,0.171889,0.386966,0.045026,0.341932,0.236519,0.125792,0.048191,0.075894,-0.539452,0.423981,0.125166,-0.314264,-0.409770,0.042746,-0.215591,0.194758,1.064119,0.697077,0.259787,0.038616,0.732988,-0.283179,0.451677,1.286931,0.089846,-0.040969,0.517544,-0.023418,0.396791,0.078756,0.072073,1
Neat1,-0.227813,-0.018593,0.357267,0.054299,0.128465,-0.009622,0.003771,-0.029783,-0.147523,-0.384033,0.221019,0.103188,-0.285240,-0.184199,-0.001352,-0.173188,0.370527,1.132621,0.984326,0.554193,0.333375,0.801389,-0.302080,0.748693,1.278861,-0.081790,-0.341769,0.576947,-0.283059,0.245100,0.366452,0.022209,1
Kcnq1ot1,0.408469,0.299487,-0.394336,0.058992,0.189415,0.438291,-0.058715,-0.444750,-0.391576,-0.636220,0.309983,0.504905,-0.382597,-0.337485,-0.232553,-0.360153,0.129656,0.969136,0.398464,-0.409767,-0.758517,0.836615,0.105390,-0.021271,0.686242,0.452167,-0.163247,0.496283,0.545688,-0.521655,-0.116798,-0.244203,1
Gm12609,-0.345978,-0.081249,0.631264,-0.014133,0.267949,0.173739,0.060103,0.306418,-0.038968,-0.425434,0.417789,0.176821,-0.254354,-0.524677,0.088580,-0.003290,0.189167,0.982776,0.836764,0.529534,0.112459,0.735791,-0.002611,0.536950,1.090161,0.017728,-0.014129,0.722936,-0.305922,0.546217,0.128698,0.276551,1
9030622O22Rik,-0.363390,-0.063501,0.484628,0.017371,0.434896,0.206861,0.073389,0.240352,-0.011816,-0.664434,0.439424,0.055762,-0.296029,-0.440075,0.182281,-0.019012,0.126877,0.944694,0.720734,0.310007,-0.009388,0.635746,-0.032455,0.482312,1.046834,0.090511,-0.069546,0.795727,-0.365833,0.594097,-0.104194,0.387295,1
1810026B05Rik,-0.351847,0.076362,0.076312,-0.070087,0.275040,0.150681,-0.117529,-0.052261,0.358328,-0.153064,0.501194,0.051043,-0.125993,-0.323507,-0.553988,-0.195570,-0.194801,0.720753,-0.233011,0.194498,-0.330990,0.432609,0.308877,-0.006049,-0.002939,-0.063725,-0.036629,0.347106,-0.470736,0.032047,-0.266082,-0.047355,1
6720416L17Rik,-0.278683,-0.105738,0.613038,0.087113,0.212038,0.265365,-0.020954,0.409586,0.014353,-0.441336,0.248312,-0.002916,-0.256302,-0.282532,0.118018,0.000199,0.035202,1.079283,0.779503,0.506349,0.243118,0.613240,0.124067,0.706470,1.091831,0.191599,-0.017439,0.981626,-0.294537,0.317432,0.332621,0.221281,1
AK028326,0.009824,0.247934,0.172692,-0.098605,0.298347,0.084127,-0.249397,0.098859,-0.207699,-0.452459,0.130196,0.315293,-0.372251,-0.381119,-0.177740,-0.300116,0.040995,0.772365,0.251562,0.048698,-0.156587,0.048332,0.171740,0.082495,0.080471,0.159677,-0.289707,0.245513,-0.287928,-0.014867,-0.264360,0.023606,1
Enox,-0.348421,-0.030275,0.264454,-0.050928,0.006596,-0.047240,-0.036431,0.060625,-0.176648,-0.225873,0.083194,0.099386,-0.375710,-0.208190,0.058234,-0.227729,0.457093,1.144509,1.001552,0.469508,0.414497,0.901958,-0.280571,0.804350,1.217326,-0.204996,-0.325418,0.673290,-0.219048,0.103749,0.392828,0.032413,1
Dnm3os,-0.351609,-0.049762,0.519162,-0.171806,0.288177,0.694790,0.121982,0.107431,0.062617,-0.339826,0.597803,-0.214283,-0.011855,-0.270742,-0.290914,-0.142105,0.058971,1.019543,0.536620,0.316526,0.037535,0.908839,0.295368,0.372702,1.371905,-0.214231,0.206521,0.480175,-0.487080,0.606902,-0.067322,0.754688,1
Fendrr,0.159787,0.617452,0.546646,0.294925,0.578372,-0.022023,-0.167967,0.159504,0.609643,-0.392345,0.044055,-0.189308,-0.335253,-0.138387,0.000763,-0.214429,1.085043,1.388433,-0.348305,0.077123,-0.463694,-0.176225,-0.237393,0.127715,0.501475,-0.121697,0.379140,0.466156,-0.034573,-0.074884,0.708152,-0.133349,1
Gm12750,-0.148788,0.360388,0.466254,-0.279055,0.162017,0.126476,0.117689,0.193967,-0.129727,-0.421761,0.439729,0.664608,-0.288811,-0.541527,0.015145,-0.236157,0.269438,0.758132,0.301532,0.326755,0.162258,0.506948,0.119385,0.004424,0.617481,-0.138827,0.383514,0.570713,-0.023139,0.411229,-0.045563,0.075930,1
RP23-71K9.4,-0.314265,0.041648,-0.026063,-0.121927,0.224603,0.010077,-0.086915,0.083295,0.073659,-0.494761,0.138843,0.170411,-0.179773,-0.052876,-0.047820,-0.157431,0.092770,0.834784,0.082387,0.202103,-0.047090,0.007233,0.304485,0.170787,-0.018126,0.104709,-0.180664,0.351447,-0.071761,-0.021501,-0.329671,0.058608,1
A930011O12Rik,0.570487,0.468137,0.180326,-0.235545,0.228148,-0.076879,-0.800970,0.391887,-0.670875,-0.605248,-0.188252,0.069166,-0.860881,-0.139488,-0.145075,-0.894989,-0.181683,1.094433,0.944656,0.626233,0.232569,0.999935,-0.163109,0.703606,1.487913,-0.095591,-0.209684,0.238644,-0.703322,0.445136,-0.040615,-0.230965,1
lincRNA-p21,-0.388684,0.086619,0.330375,-0.025159,0.495797,-0.006693,-0.123886,0.147443,0.186326,-0.373461,0.335942,0.077692,-0.142134,-0.113477,-0.268700,-0.343208,-0.029606,0.574497,-0.328689,0.341779,-0.370389,0.398882,0.393367,-0.044587,0.234191,0.109470,-0.132906,0.352070,0.178618,-0.265468,0.027139,-0.377874,1
Braveheart,-0.885701,0.217256,-0.103205,-0.338511,0.453473,2.703561,-1.251449,-0.835231,2.631333,-1.554521,-0.211588,0.260815,-1.284823,-0.998920,-0.063638,0.030221,-0.574872,2.425698,1.829125,0.273053,-1.026046,3.367948,-0.548691,-2.025860,1.842360,1.894674,-2.203295,2.463900,-0.258288,0.924161,-0.727334,0.957481,1
mrhl,0.150682,0.456620,-0.190891,0.219331,0.228641,-0.101725,0.259405,0.676911,0.076387,-0.160406,-0.183561,0.611542,0.157953,0.041233,0.060798,-0.338132,-0.164588,1.256658,-0.056956,0.660947,-0.218747,0.269488,0.411151,0.040559,0.106110,0.021382,-0.016391,0.439920,0.248068,-0.136977,0.094692,-0.031932,1
NONMMUG034886,-0.082655,0.039415,0.077629,0.000010,0.244280,0.072376,0.098637,0.193953,0.196705,-0.306985,-0.088760,0.280440,-0.155257,-0.127976,-0.004354,-0.375506,0.088951,0.764520,0.029594,0.248301,-0.073913,0.227924,0.447628,0.170915,-0.048085,0.006225,0.069276,0.327840,0.072488,0.003684,0.006632,0.087517,1
Dlx6os1,-0.280414,-0.360569,0.574801,0.243620,0.131255,-0.211105,0.125827,0.196094,-0.001915,-0.284084,-0.027474,-0.187455,-0.601729,-0.353662,0.153218,-0.085651,0.357524,1.077262,1.030553,0.603476,0.311088,0.857465,-0.183340,0.720765,1.262454,0.038358,-0.613876,0.783903,-0.365701,0.272323,0.202032,0.222023,1
5033428I22Rik,-0.358129,0.174635,0.361198,-0.017163,-0.050223,-0.065655,0.178235,0.153145,-0.094609,-0.456374,-0.017015,0.187015,-0.238132,-0.501885,0.001396,0.185732,0.402402,1.122663,1.102136,1.069177,0.518114,0.835661,-0.042349,0.505920,1.312461,-0.035926,-0.264073,0.360332,-0.224020,0.341938,0.229410,-0.237972,1
NONMMUG026355,0.040050,0.451363,0.471111,-0.199820,0.410087,0.193366,0.234852,-0.131701,0.763342,-0.373752,0.038537,-0.325940,-0.141658,0.096777,0.076153,-0.310481,0.868544,1.004932,-0.482080,0.471359,-0.904774,-0.074930,-0.569642,0.066511,0.234342,0.323605,-0.081304,0.446669,0.418097,-0.154876,-0.178286,-0.298131,1
Pde4d,-0.160808,-0.028148,-0.278900,-0.644038,0.329614,0.313037,-0.029076,-0.207738,0.422152,-0.363644,0.149484,-0.559069,-0.257766,-0.743499,-0.772590,-0.493199,-0.125742,0.969101,-0.180132,0.678935,-0.298895,0.195696,-0.022750,-0.297758,-0.106326,0.066846,-0.114206,0.696631,0.039545,0.374331,0.222977,0.188968,0
Snrpb,-0.191684,-0.203328,-0.059590,-0.197328,0.115946,0.618900,-0.190407,-0.000198,0.162922,0.039600,0.428267,-0.107053,-0.219941,-0.471965,-0.667373,-0.187990,-0.006109,0.755836,-0.327253,0.481702,-0.188507,0.340962,0.280559,-0.089875,0.076501,-0.151098,-0.112849,0.319173,-0.228173,0.115577,-0.372013,0.122384,0
Zfp329,-0.134473,-0.335901,-0.027708,-0.213510,0.222252,0.625923,-0.208891,0.106399,0.138427,-0.032871,0.344730,-0.072353,-0.489170,-0.533263,-0.531685,-0.114087,0.120171,0.739953,-0.364522,0.528857,-0.136499,0.197276,0.300101,-0.213919,0.222249,-0.144478,-0.133783,0.289026,-0.052475,0.146588,-0.448754,0.057406,0
1700012B15Rik,-0.021373,0.312566,0.372940,-0.155019,0.313655,0.273756,-0.219952,-0.247901,0.439000,-0.368353,0.167758,0.225447,-0.406747,-0.128176,-0.022713,-0.202487,0.209014,0.661633,0.049884,0.142389,-0.506940,0.152030,-0.073312,0.336540,0.022838,0.038972,-0.155842,0.533587,0.463583,0.111043,-0.230724,-0.126736,0
Gm12531,-0.435743,0.066455,0.426467,-0.155836,0.126430,0.319057,-0.088549,0.254130,-0.090710,-0.490583,0.308155,0.126564,-0.285283,-0.178288,0.044395,-0.116201,0.144595,1.121115,0.867039,0.466537,0.318754,0.578337,0.047978,0.471440,1.104464,0.144436,0.096869,0.874244,-0.296394,0.368422,-0.003827,0.093278,0
NONMMUG019650,-0.451531,0.075458,0.228416,-0.115377,0.307622,0.139496,-0.228305,-0.267563,0.172923,-0.478171,0.281433,0.308932,-0.443193,-0.073766,-0.171656,-0.223537,0.026545,0.516455,0.044151,0.258839,-0.351079,0.181538,0.284434,0.275988,0.108314,-0.078352,-0.162872,0.457861,0.168726,0.134246,-0.187279,-0.087690,0
NONMMUG023951,-0.393054,0.066993,0.220016,-0.099906,0.294177,0.113952,-0.268369,-0.225751,0.192137,-0.446772,0.312559,0.313311,-0.446175,-0.107464,-0.194195,-0.228922,0.075056,0.455480,0.042524,0.292551,-0.353016,0.230559,0.249454,0.202576,0.119893,-0.024922,-0.179896,0.437023,0.166370,0.091980,-0.166664,-0.102680,0
Golgb1,-0.319580,-0.107351,-0.322520,-0.884862,0.597749,-0.186214,0.057208,-0.230213,0.229105,-0.794468,0.094281,-0.286969,-0.358231,-0.711370,-0.511942,-0.539031,-0.316884,1.102547,0.186508,0.581462,-0.036149,0.098338,0.102393,-0.414810,-0.356382,0.152724,-0.230966,0.776113,-0.133384,0.440490,0.489906,0.430759,0
R3hcc1l,0.060331,-0.253381,0.167265,-0.343687,0.371641,0.379636,-0.052522,-0.003080,0.366469,-0.180957,0.298097,0.216810,-0.206850,-0.149978,-0.423622,-0.165420,0.093754,0.806899,0.022778,0.147361,-0.096522,-0.040547,0.545567,-0.235798,0.332094,-0.216291,-0.232304,0.171155,-0.210039,0.183977,-0.382415,0.189619,0
NONMMUG033050,0.111494,0.179286,0.311502,-0.103803,0.379455,0.068134,-0.073020,-0.084298,0.410028,-0.464460,0.161288,0.096634,-0.110087,-0.261023,-0.204226,-0.276875,0.408638,0.850180,-0.018379,0.095004,-0.444115,0.001668,-0.151826,0.214424,0.066102,0.085542,-0.139290,0.478036,0.250634,0.046088,-0.330799,-0.262082,0
NONMMUG044097,-0.285127,-0.154016,0.310998,-0.016026,0.246672,0.091860,-0.090874,0.056849,0.179252,-0.461187,0.182911,0.326097,-0.344079,-0.144361,-0.281599,-0.263048,0.016246,0.551664,-0.159988,0.207898,-0.377659,0.386578,0.184975,0.042053,0.072761,-0.029991,-0.163054,0.299550,0.103152,-0.042280,-0.013613,-0.208926,0
NONMMUG013858,-0.265010,-0.030521,0.149209,-0.167391,0.343127,-0.017934,-0.105675,0.036900,0.111991,-0.402430,0.072571,0.274748,-0.173427,-0.312721,-0.190761,-0.203015,0.137680,0.731038,0.081682,0.060888,-0.185455,0.042146,0.224012,0.106200,-0.000275,-0.004697,-0.199497,0.349366,-0.105812,0.104158,-0.303474,0.056546,0
NONMMUG017212,-0.202736,0.017213,0.121285,-0.135586,0.329155,-0.008701,-0.125050,0.087717,0.053476,-0.383026,0.069217,0.291672,-0.162378,-0.221854,-0.227608,-0.181062,0.121353,0.727032,0.121780,0.113648,-0.150119,0.099514,0.214547,0.123660,-0.031057,0.015074,-0.135773,0.433187,-0.048057,0.130668,-0.380987,-0.010332,0
NONMMUG035553,-0.152502,0.342179,0.009744,-0.080094,0.258129,0.157237,-0.265537,0.156676,-0.216221,-0.513310,0.131890,0.264148,-0.370389,-0.189381,-0.106424,-0.416596,-0.060667,0.822451,0.205691,0.073950,-0.089809,-0.016324,0.266819,0.131732,0.188926,0.178306,-0.285727,0.221940,-0.218171,-0.057864,-0.256918,0.074375,0
Gdap10,-0.353318,0.201956,0.284583,-0.139864,0.045301,0.072913,0.121387,-0.072655,-0.168975,-0.317498,0.109430,0.091615,-0.162745,-0.171014,0.075438,-0.118596,0.420388,1.184598,0.903917,0.439992,0.402295,0.935008,-0.178199,0.803734,1.268392,-0.294666,-0.307546,0.646275,-0.222444,0.072807,0.368541,-0.008411,0
