lncRNA,score
NONHSAG016057,0.009143439
NONHSAG031062,0.009163349
NONHSAG037074,0.011178381
NONHSAG030898,0.012751637
NONHSAG038396,0.014327629
NONHSAG020351,0.01602691
RP11-429K17.1,0.024123548
NONHSAG039659,0.024384897
RP11-973F15.2,0.026049217
NONHSAG006324,0.027757571
RPI002_002688,0.034675111
NONHSAG012005,0.034813271
NONHSAG022998,0.03520689
NONHSAG026844,0.036844138
NONHSAG030997,0.039007563
NONHSAG032674,0.039345183
NONHSAG055859,0.039483055
RPI002_007742,0.042597303
NONHSAG039590,0.042774059
RN7SL285P,0.046165178
RP11-435D7.3,0.046427363
RP11-296E23.2,0.046954589
RP11-68I3.5,0.047515514
RP5-926E3.1,0.047633562
NONHSAG020392,0.051439791
SELL,0.052203858
RP4-592A1.4,0.053047862
RPI002_004377,0.053958178
NONHSAG014381,0.054810189
COX7A2P1,0.055411965
NONHSAG032334,0.056095956
RN7SL81P,0.056519575
RP11-255A11.2,0.056690083
C19orf52,0.056899347
RP11-33I11.2,0.056977185
NONHSAG026738,0.056983526
NONHSAG004475,0.057497253
NONHSAG006450,0.057500868
RPI002_003508,0.05764727
NONHSAG035817,0.058204171
RP11-17M24.2,0.058422693
RN7SL232P,0.058933086
NONHSAG013852,0.060932929
RP11-109D20.2,0.062559076
RN7SL39P,0.063148305
RN7SL768P,0.063738408
RN7SL594P,0.063769256
NONHSAG037189,0.066089371
RP11-317F20.2,0.066309806
NONHSAG037116,0.066395145
RP11-257I8.1,0.06655442
RN7SL775P,0.066734
NONHSAG027606,0.067218483
RP11-491H9.3,0.067339482
NONHSAG011509,0.068117863
AC010090.1,0.06827677
NONHSAG015929,0.068277735
RN7SL364P,0.068517368
AC026166.2,0.068553649
RP11-334E6.4,0.068780927
NONHSAG039923,0.069160421
NONHSAG006909,0.069470407
NONHSAG025299,0.069663146
RN7SL113P,0.069715728
CTD-2008A1.1,0.069898572
NONHSAG004638,0.070019496
RN7SKP266,0.070393875
NONHSAG042876,0.071016745
U51244.2,0.071147081
NONHSAG023737,0.071182529
RP11-344N10.2,0.071206857
AC092162.2,0.071499107
NONHSAG049121,0.071647634
NONHSAG001240,0.071711929
CTC-325H20.4,0.07184187
CTC-498M16.3,0.07191128
RP5-1154L15.1,0.072089248
NONHSAG041648,0.072233204
NONHSAG020876,0.072355218
NONHSAG015621,0.072413066
RPI002_004901,0.072557173
NONHSAG013726,0.07263306
RN7SL105P,0.072939689
LINC00903,0.07301548
NONHSAG008178,0.073437077
RP11-353N4.3,0.073484254
NONHSAG049194,0.073740088
RN7SL326P,0.073763564
NONHSAG054553,0.07377036
RP5-1125K23.1,0.073796603
RP11-359P18.6,0.07425878
RP4-633I8.4,0.074749023
NONHSAG051013,0.075254687
RPI002_006908,0.075691958
RP11-51L5.4,0.075977017
NONHSAG053665,0.076051008
PHBP12,0.076551464
NONHSAG020403,0.077553285
RP11-690C23.3,0.078741183
NONHSAG041180,0.078852789
RP4-672N11.1,0.07915719
NONHSAG003308,0.079179078
RP11-94H6.1,0.07936948
SUMO1P4,0.079896997
NONHSAG034676,0.080044118
RP11-153K11.3,0.080335634
NONHSAG026434,0.080603348
RP11-338E21.3,0.080882739
RP11-192P9.1,0.0809194
AC020915.2,0.081034052
RP11-218E20.5,0.081043826
RN7SL464P,0.081045279
NONHSAG007065,0.081409253
RP11-157D18.2,0.081499299
ZBTB40-IT1,0.081540019
RP11-49I4.3,0.081587489
NONHSAG001028,0.081634092
RP11-774I5.1,0.081736783
RP11-123O1.1,0.081831019
