transID,value
NONHSAT242672.1,-413.8
NONHSAT242673.1,-253.7
NONHSAT242674.1,-275.6
NONHSAT242675.1,-292.9
NONHSAT242676.1,-131.8
NONHSAT242677.1,-59.4
NONHSAT242643.1,-816.6
NONHSAT242180.1,-800.9
NONHSAT241443.1,-220.1
NONHSAT241409.1,-240.5
NONHSAT241410.1,-948.3
NONHSAT241411.1,-791.8
NONHSAT241412.1,-959.2
NONHSAT241413.1,-402.1
NONHSAT241414.1,-604.6
NONHSAT241388.1,-900
NONHSAT241389.1,-288.5
NONHSAT073703.2,-166.1
NONHSAT240797.1,-653.8
NONHSAT240798.1,-152.6
NONHSAT240406.1,-529.8
NONHSAT239780.1,-1281.3
NONHSAT239076.1,-1393.3
NONHSAT238690.1,-711.4
NONHSAT238691.1,-494.5
NONHSAT238239.1,-558
NONHSAT237479.1,-417.2
NONHSAT143224.2,-841.5
NONHSAT143226.2,-603.2
NONHSAT173201.1,-197.6
NONHSAT173202.1,-180.4
NONHSAT235416.1,-1038.6
NONHSAT235417.1,-470.9
NONHSAT234602.1,-783.8
NONHSAT234132.1,-910.2
NONHSAT234133.1,-92.5
NONHSAT234134.1,-796.1
NONHSAT232486.1,-611.7
NONHSAT230572.1,-270
NONHSAT230534.1,-182.9
NONHSAT229118.1,-469.7
NONHSAT228472.1,-360.6
NONHSAT228473.1,-1312.9
NONHSAT228474.1,-564.7
NONHSAT227406.1,-681.05
NONHSAT227407.1,-591.3
NONHSAT227408.1,-621.15
NONHSAT227409.1,-540.9
NONHSAT227095.1,-1017.9
NONHSAT227096.1,-386.2
NONHSAT226985.1,-1117.4
NONHSAT226857.1,-1124.5
NONHSAT225596.1,-899.4
NONHSAT225597.1,-1290.4
NONHSAT225598.1,-205.9
NONHSAT224431.1,-207.5
NONHSAT138304.2,-684.3
NONHSAT138305.2,-153.7
NONHSAT222952.1,-270.1
NONHSAT222953.1,-742.9
NONHSAT222954.1,-808
NONHSAT222956.1,-71
NONHSAT224158.1,-194.6
NONHSAT258370.1,-588.3
NONHSAT258372.1,-577.7
NONHSAT136802.2,-330.1
NONHSAT136808.2,-92.9
NONHSAT136813.2,-143
NONHSAT223301.1,-116.8
NONHSAT223900.1,-135.8
NONHSAT223901.1,-783.74
NONHSAT223902.1,-115.8
NONHSAT223903.1,-109.4
NONHSAT223904.1,-176.1
NONHSAT258631.1,-104.2
NONHSAT258634.1,-259.4
NONHSAT258635.1,-266.9
NONHSAT258647.1,-216.7
NONHSAT258648.1,-152.4
NONHSAT136544.2,-536.8
NONHSAT136547.2,-479.3
NONHSAT223253.1,-881.1
NONHSAT223254.1,-584.8
NONHSAT223255.1,-72.7
NONHSAT223256.1,-138.6
NONHSAT223257.1,-459.5
NONHSAT223258.1,-192.5
NONHSAT223259.1,-197.2
NONHSAT223260.1,-549.4
NONHSAT223795.1,-350.7
NONHSAT258573.1,-43.4
NONHSAT258574.1,-55.9
NONHSAT258575.1,-277.3
NONHSAT138267.2,-740.8
NONHSAT223521.1,-148.97
NONHSAT258862.1,-848.8
NONHSAT258863.1,-650.2
NONHSAT258865.1,-657
NONHSAT258866.1,-281.9
NONHSAT258867.1,-455.4
NONHSAT258868.1,-718.9
NONHSAT258869.1,-439.6
NONHSAT258870.1,-948.9
NONHSAT258871.1,-222.2
NONHSAT258872.1,-520.7
NONHSAT258873.1,-177.6
