0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,label
Gas5,0.627652,-1.035500,0.103451,-0.046106,0.079527,0.230500,0.299694,0.017320,-0.330006,0.207168,-0.133897,-0.261016,0.297264,0.020298,-0.081170,-0.560223,-0.324321,0.129609,0.214884,-0.151317,0.075567,0.429388,-0.105474,-0.015293,0.383170,0.003405,0.273664,-0.466763,0.313307,0.129489,-0.240620,0.203842,-0.154561,-0.044462,0.149967,0.396941,-0.487830,-0.135787,-0.341121,0.169036,0.503694,-0.024900,0.674267,0.060551,0.125987,-0.274317,0.022664,0.216318,-0.249930,-0.372543,-0.504297,-0.019591,0.420908,0.378321,-0.195833,0.497482,-0.132355,-0.237629,0.177172,0.182782,-0.098402,-0.253279,1.037065,-0.009112,1
Xist,0.876588,-0.593295,0.000568,-0.029825,0.133237,0.203035,-0.026403,0.215479,-0.143466,0.392466,0.314464,-0.168642,-0.007977,0.255901,-0.819359,-0.206576,0.240305,0.037841,0.339588,0.341807,0.395113,0.588147,-0.453534,-0.223371,-0.140610,-0.584889,-0.027823,-0.504668,0.231143,-0.291510,-0.045902,0.408184,-0.293788,0.331462,0.099119,0.674202,-0.566623,0.276594,-0.528830,-0.387769,0.491256,0.188309,0.691519,0.556039,0.216800,0.147662,0.543660,0.445092,-0.192089,0.063868,-0.628060,0.456864,0.359786,-0.206734,-0.198493,-0.006495,0.161448,0.437925,0.301544,0.333489,-0.377292,0.539096,0.507278,0.066270,1
Meg3,0.796091,-0.930277,0.133417,0.143948,0.025361,0.367870,0.245579,-0.153213,-0.073501,0.222972,-0.295951,-0.091251,0.464926,0.004447,-0.025868,-0.688109,-0.125535,0.048458,-0.201789,-0.095061,0.099629,0.614953,0.010449,0.006745,0.409851,0.148857,0.284205,-0.560104,0.430734,0.171345,-0.435849,0.028079,-0.006735,-0.058273,0.185151,0.208515,-0.551347,-0.132673,-0.572148,-0.037204,0.438140,0.031501,0.718554,0.340423,0.059227,-0.351161,0.144498,0.301081,-0.194769,-0.520573,-0.344843,-0.069549,0.556856,0.343942,-0.161342,0.583525,-0.139741,-0.246206,-0.068835,0.169114,-0.077081,-0.194552,0.894724,0.021090,1
Airn,0.175688,-0.888836,0.382422,-0.208059,0.161809,-0.208003,-0.166858,-0.056941,0.220982,0.363446,0.085315,0.086736,-0.099766,-0.066399,-0.458889,-0.121206,0.123859,-0.086396,0.088376,0.238349,-0.128319,0.400669,-0.083130,-0.446201,0.096327,-0.438334,0.472030,-0.753678,0.011193,-0.257125,-0.426736,-0.040100,0.151008,-0.102987,-0.270845,0.282000,0.013781,0.106763,-0.226756,-0.251459,0.478002,0.226720,0.365936,0.256718,0.005245,-0.128015,0.164698,0.177376,-0.261844,-0.204301,-0.372363,-0.050934,0.229198,0.036166,0.106970,0.355314,-0.292902,0.068132,0.037696,0.246991,-0.114961,0.124919,0.572389,0.005831,1
Tsix,0.359023,-0.722736,0.306195,-0.135309,0.087182,-0.022266,-0.068868,-0.171586,0.040444,0.329944,0.176055,-0.011018,-0.095573,0.018523,-0.467264,-0.068208,0.197922,0.099450,-0.101559,0.033700,0.006567,0.408341,0.098625,-0.425992,0.170572,-0.360332,0.490691,-0.890547,0.092893,-0.190706,-0.279375,0.092436,0.143919,-0.087387,-0.295844,0.375223,-0.156332,0.021372,-0.200664,-0.395900,0.179693,0.146988,0.460664,0.296879,-0.057296,-0.375891,0.082511,0.399267,-0.342617,-0.194702,-0.350443,0.071638,0.222904,0.022825,0.115002,0.407967,-0.248234,0.284175,-0.031847,0.105298,-0.083871,0.075813,0.659166,0.079650,1
Neat1,0.222334,-0.817091,0.412426,-0.311324,0.253467,-0.059116,-0.365256,-0.034918,0.127342,0.405259,0.041761,0.049873,-0.176353,0.039902,-0.300570,-0.093649,0.109847,-0.231657,0.299882,0.575701,-0.016931,0.504510,-0.186373,-0.453471,0.424230,-0.642659,0.613460,-0.815446,-0.200407,-0.457897,-0.474704,-0.103029,0.063002,-0.156857,0.080076,0.254604,0.013563,0.033621,-0.182071,-0.347654,0.480896,0.247208,0.272674,0.349759,0.024806,0.035419,0.342104,0.099949,-0.389423,-0.155028,-0.314693,-0.226340,0.137342,0.082829,0.105548,0.456499,-0.195702,0.073235,0.098608,0.150078,-0.297957,0.096685,0.607201,0.093473,1
Kcnq1ot1,0.042942,-0.306157,0.447491,-0.408376,-0.232682,-0.024457,-0.048292,-0.429065,-0.507916,0.254790,0.587241,0.055742,-0.016797,0.167755,-0.099898,-0.144686,0.338339,-0.234740,0.094935,0.016863,0.124229,0.171519,-0.102540,-0.097576,-0.229800,0.149591,0.053842,0.004666,0.265274,-0.072212,-0.595392,0.007543,-0.092473,0.159323,-0.106809,1.097034,-0.520123,0.000671,-0.546383,-0.269662,0.039192,-0.161686,0.432159,0.066381,-0.086768,-0.155651,0.616324,0.261665,-0.092457,-0.021816,-0.027315,0.310525,-0.080066,-0.495700,-0.256833,0.138679,0.105156,0.396568,-0.596995,0.297785,0.112985,0.341097,0.530440,0.305624,1
Gm12609,-0.035659,-0.922126,0.210177,-0.334393,-0.037752,-0.238380,-0.202711,-0.181372,0.178057,0.233634,-0.052113,0.151121,-0.061930,-0.150186,-0.460531,0.059648,0.241164,0.013738,0.013997,0.253797,-0.301165,0.464240,-0.249244,-0.409558,0.266079,-0.444914,0.726504,-0.781638,0.072202,-0.292215,-0.567547,0.016165,0.111687,-0.188148,-0.140585,0.107689,0.011277,0.033071,-0.116862,-0.185768,0.323285,0.273795,0.409682,0.276073,0.140319,-0.200531,0.176203,0.113221,-0.288795,-0.242245,-0.461906,0.069731,0.272042,-0.034405,0.220594,0.618492,-0.272224,0.001525,0.139973,0.246580,-0.009589,0.124698,0.537881,0.083560,1
9030622O22Rik,-0.055299,-0.894883,0.246574,-0.312231,-0.064986,-0.151541,-0.223369,-0.182747,0.329892,0.263811,0.064114,0.202788,-0.105744,-0.109359,-0.379258,0.009738,0.360146,-0.018663,0.072612,0.054576,-0.171795,0.554422,-0.172117,-0.371760,0.110418,-0.425605,0.717113,-0.814619,0.103003,-0.302018,-0.348737,-0.103408,0.161372,-0.274367,-0.138756,0.125386,-0.172573,-0.219506,-0.200964,-0.162745,0.319291,0.288062,0.485200,0.180917,0.032358,-0.148042,0.112379,-0.081823,-0.226105,-0.009617,-0.337008,0.102797,0.482899,0.040813,0.320799,0.412788,-0.341581,-0.127323,-0.090415,0.338920,0.060753,0.129867,0.622160,0.065734,1
6720416L17Rik,0.042254,-0.801063,0.159594,-0.341968,0.096338,-0.254478,-0.258407,-0.306711,0.201981,0.206716,0.068323,0.292082,-0.131376,-0.267938,-0.330111,-0.052772,0.131661,-0.100894,0.092408,0.388701,-0.208081,0.409644,-0.272831,-0.426705,0.108139,-0.518363,0.731898,-0.837867,0.103603,-0.372411,-0.516071,-0.026144,0.175939,-0.056127,-0.055179,0.103034,0.103281,-0.050574,-0.140915,-0.066334,0.338098,0.371258,0.501512,0.173871,-0.020410,-0.182808,0.213399,0.091217,-0.336460,-0.214588,-0.546327,-0.013471,0.202667,0.110218,0.146736,0.577928,-0.352162,0.025465,0.119455,0.296615,-0.202356,0.188922,0.535651,0.132347,1
