0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,label
Gas5,-0.120833,0.789566,0.490416,-0.798869,-0.891879,0.010273,0.253084,0.085686,0.646158,0.681009,0.759889,0.500310,-0.998593,-0.318030,-0.679700,0.513559,1
Xist,-0.242999,0.736159,0.288339,-0.003462,-0.789284,0.295911,-0.838361,-0.359822,0.175859,-0.310597,0.395972,0.257904,-1.300724,-1.002220,-0.451841,1.738145,1
Meg3,-0.142569,0.482978,0.388229,-0.919565,-0.833506,-0.072131,0.400677,0.095304,0.477897,0.608912,0.786392,0.269958,-1.191429,-0.391484,-0.716516,0.632079,1
Airn,-0.320713,0.939848,-0.149091,-0.050896,-0.158660,0.098241,-0.283462,-0.753431,0.664935,0.465625,0.390554,0.392684,-1.558884,-0.671154,-0.064353,0.647196,1
Tsix,-0.431710,0.808293,-0.195951,-0.071514,-0.104412,0.195257,-0.256746,-0.711976,0.670039,0.239299,0.535396,0.247830,-1.599670,-0.559622,-0.251297,0.757333,1
Neat1,-0.538959,0.758400,-0.278332,-0.213577,-0.179730,-0.212655,-0.262978,-0.863501,0.486651,0.531719,0.273683,0.567164,-1.589751,-0.975410,-0.232602,0.907769,1
Kcnq1ot1,-0.359456,0.209087,-0.145695,-0.692838,0.341949,0.581104,-0.982762,0.333765,0.132685,-0.333878,0.606526,0.246364,-0.794731,-0.527893,-0.146645,1.256786,1
Gm12609,-0.370113,1.068644,-0.114502,0.036357,-0.273838,-0.073549,-0.239762,-0.832196,0.648375,0.472269,0.390619,0.173042,-1.698879,-0.587332,-0.121760,0.424129,1
9030622O22Rik,-0.104310,0.980752,-0.162555,-0.016870,-0.200294,0.026305,-0.236278,-0.801053,0.628549,0.556984,0.524351,-0.059771,-1.718776,-0.465144,-0.039386,0.438075,1
1810026B05Rik,-0.257698,0.295057,-0.199568,-0.324894,-0.391034,0.407470,-0.279849,0.101637,-0.255705,0.301342,0.835520,0.137746,-0.540305,0.131408,-0.015123,-0.123362,1
6720416L17Rik,-0.336704,1.078967,-0.346401,0.128985,-0.241379,-0.171937,-0.152796,-0.835758,0.715414,0.454763,0.434205,0.137051,-1.640388,-0.657122,-0.227170,0.461929,1
AK028326,0.031441,0.469685,-0.125791,-0.531712,-0.072601,-0.003734,-0.469995,-0.183503,-0.079754,-0.120993,0.795918,0.099427,-0.590744,-0.099063,0.401365,0.402647,1
Enox,-0.566029,0.858351,-0.225386,-0.249926,-0.122385,-0.204261,-0.337453,-0.827479,0.561993,0.488783,0.188955,0.609755,-1.465107,-1.044603,-0.216820,0.921182,1
Dnm3os,-0.250208,1.162599,0.041938,0.326527,-0.663362,0.453422,0.032906,-0.641586,0.763744,0.522843,0.676168,0.594941,-1.618777,-0.309311,0.081279,0.352895,1
Fendrr,-0.884997,0.555809,-0.178019,0.302322,-0.146061,-0.187877,-0.222330,-0.054714,0.168094,-0.547374,1.384965,-0.300745,-0.837929,0.105834,-0.840452,0.712189,1
Gm12750,-0.375999,1.051082,0.199449,-0.183455,-0.012465,0.263165,-0.295833,-0.559786,0.464916,-0.186824,0.615068,0.199709,-1.044759,-0.143342,-0.068786,0.211736,1
RP23-71K9.4,0.012785,0.459094,-0.380537,-0.322371,-0.058211,-0.012408,-0.425772,-0.303180,0.042185,0.267433,0.823448,-0.164351,-0.266093,-0.066539,0.115950,0.077372,1
A930011O12Rik,-0.346152,0.832629,-0.293387,-0.400777,-0.367367,-0.226527,-0.342597,-0.788931,0.318272,0.011939,0.385409,0.915111,-1.654255,-0.936860,0.357549,1.151743,1
lincRNA-p21,-0.680853,0.239393,-0.688724,-0.222304,0.036693,0.238592,-0.166064,0.177378,0.044112,-0.060475,0.724287,-0.095380,-0.572557,0.033319,0.016113,-0.010302,1
